Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-2.993	-0.00017	0.1255	0.02084	
0.00500	-2.886	-0.00017	0.1343	0.02060	
0.01000	-2.765	-0.00017	0.1430	0.02038	
0.01500	-2.632	-0.00014	0.1514	0.02016	
0.02000	-2.490	-0.00011	0.1595	0.01992	
0.02500	-2.342	-0.00012	0.1672	0.01972	
0.03000	-2.190	-0.00011	0.1747	0.01952	
0.03500	-2.040	0.000	0.1819	0.01934	
0.04000	-1.894	-0.00011	0.1886	0.01916	
0.04500	-1.754	-0.00011	0.1951	0.01904	
0.05000	-1.628	0.000	0.2013	0.01890	
0.05500	-1.518	-0.00011	0.2071	0.01874	
0.06000	-1.428	-0.00012	0.2125	0.01855	
0.06500	-1.357	-0.00012	0.2176	0.01839	
0.07000	-1.305	-0.00014	0.2224	0.01826	
0.07500	-1.268	-0.00017	0.2268	0.01812	
0.08000	-1.244	-0.00018	0.2311	0.01799	
0.08500	-1.225	-0.00019	0.2350	0.01784	
0.09000	-1.207	-0.00022	0.2386	0.01775	
0.09500	-1.185	-0.00023	0.2419	0.01765	
0.1000	-1.152	-0.00022	0.2449	0.01756	
0.1050	-1.106	-0.00023	0.2476	0.01752	
0.1100	-1.046	-0.00024	0.2500	0.01751	
0.1150	-0.9754	-0.00021	0.2522	0.01747	
0.1200	-0.8965	-0.00020	0.2540	0.01747	
0.1250	-0.8122	-0.00021	0.2556	0.01748	
0.1300	-0.7263	-0.00019	0.2570	0.01754	
0.1350	-0.6416	-0.00017	0.2580	0.01759	
0.1400	-0.5601	-0.00018	0.2588	0.01768	
0.1450	-0.4832	-0.00018	0.2594	0.01780	
0.1500	-0.4115	-0.00016	0.2597	0.01791	
0.1550	-0.3447	-0.00017	0.2596	0.01805	
0.1600	-0.2817	-0.00018	0.2594	0.01818	
0.1650	-0.2200	-0.00017	0.2589	0.01834	
0.1700	-0.1570	-0.00017	0.2581	0.01853	
0.1750	-0.08865	-0.00019	0.2571	0.01873	
0.1800	-0.01158	-0.00018	0.2561	0.01882	
0.1850	0.07179	-0.00016	0.2548	0.01895	
0.1900	0.1595	-0.00017	0.2533	0.01909	
0.1950	0.2512	-0.00017	0.2517	0.01929	
0.2000	0.3439	-0.00014	0.2499	0.01948	
0.2050	0.4369	-0.00015	0.2480	0.01971	
0.2100	0.5278	-0.00015	0.2459	0.01994	
0.2150	0.6161	-0.00013	0.2436	0.02017	
0.2200	0.6980	-0.00012	0.2411	0.02039	
0.2250	0.7708	-0.00014	0.2385	0.02063	
0.2300	0.8300	-0.00014	0.2357	0.02085	
0.2350	0.8756	-0.00014	0.2327	0.02106	
0.2400	0.9085	-0.00016	0.2296	0.02125	
0.2450	0.9265	-0.00018	0.2263	0.02137	
0.2500	0.9324	-0.00017	0.2230	0.02150	
0.2550	0.9337	-0.00018	0.2196	0.02164	
0.2600	0.9346	-0.00020	0.2162	0.02178	
0.2650	0.9412	-0.00018	0.2127	0.02192	
0.2700	0.9578	-0.00017	0.2092	0.02209	
0.2750	0.9866	-0.00019	0.2056	0.02229	
0.2800	1.028	-0.00018	0.2021	0.02247	
0.2850	1.079	-0.00017	0.1984	0.02265	
0.2900	1.136	-0.00018	0.1947	0.02284	
0.2950	1.194	-0.00017	0.1910	0.02305	
0.3000	1.249	-0.00015	0.1872	0.02326	
0.3050	1.297	-0.00015	0.1833	0.02352	
0.3100	1.335	-0.00016	0.1793	0.02376	
0.3150	1.362	-0.00015	0.1753	0.02402	
0.3200	1.377	-0.00016	0.1712	0.02424	
0.3250	1.382	-0.00018	0.1670	0.02444	
0.3300	1.376	-0.00018	0.1627	0.02461	
0.3350	1.363	-0.00018	0.1584	0.02483	
0.3400	1.346	-0.00020	0.1541	0.02505	
0.3450	1.328	-0.00021	0.1498	0.02527	
0.3500	1.311	-0.00020	0.1454	0.02550	
0.3550	1.300	-0.00020	0.1410	0.02576	
0.3600	1.297	-0.00021	0.1365	0.02593	
0.3650	1.306	-0.00018	0.1321	0.02608	
0.3700	1.329	-0.00017	0.1275	0.02624	
0.3750	1.363	-0.00017	0.1228	0.02644	
0.3800	1.409	-0.00015	0.1180	0.02669	
0.3850	1.463	-0.00012	0.1130	0.02688	
0.3900	1.520	-0.00013	0.1079	0.02705	
0.3950	1.575	-0.00012	0.1027	0.02726	
0.4000	1.623	-0.00010	0.09733	0.02750	
0.4050	1.666	-0.00011	0.09183	0.02780	
0.4100	1.705	-0.00013	0.08625	0.02810	
0.4150	1.742	-0.00013	0.08056	0.02843	
0.4200	1.780	-0.00014	0.07471	0.02871	
0.4250	1.818	-0.00016	0.06878	0.02896	
0.4300	1.856	-0.00016	0.06279	0.02920	
0.4350	1.891	-0.00016	0.05667	0.02943	
0.4400	1.923	-0.00018	0.05046	0.02968	
0.4450	1.948	-0.00018	0.04420	0.02988	
0.4500	1.966	-0.00016	0.03781	0.03006	
0.4550	1.979	-0.00017	0.03131	0.03025	
0.4600	1.990	-0.00018	0.02479	0.03048	
0.4650	1.999	-0.00018	0.01823	0.03072	
0.4700	2.008	-0.00018	0.01165	0.03095	
0.4750	2.015	-0.00021	0.00514	0.03118	
0.4800	2.021	-0.00021	-0.00132	0.03140	
0.4850	2.025	-0.00021	-0.00782	0.03160	
0.4900	2.024	-0.00022	-0.01428	0.03174	
0.4950	2.019	-0.00023	-0.02064	0.03190	
0.5000	2.006	-0.00021	-0.02700	0.03201	
0.5050	1.980	-0.00022	-0.03332	0.03208	
0.5100	1.940	-0.00024	-0.03950	0.03212	
0.5150	1.886	-0.00024	-0.04556	0.03219	
0.5200	1.820	-0.00025	-0.05152	0.03233	
0.5250	1.748	-0.00028	-0.05727	0.03250	
0.5300	1.674	-0.00028	-0.06281	0.03262	
0.5350	1.604	-0.00028	-0.06818	0.03276	
0.5400	1.540	-0.00030	-0.07331	0.03288	
0.5450	1.480	-0.00030	-0.07816	0.03295	
0.5500	1.426	-0.00028	-0.08281	0.03298	
0.5550	1.374	-0.00028	-0.08723	0.03300	
0.5600	1.324	-0.00030	-0.09138	0.03301	
0.5650	1.273	-0.00028	-0.09527	0.03301	
0.5700	1.216	-0.00028	-0.09893	0.03299	
0.5750	1.154	-0.00030	-0.1022	0.03298	
0.5800	1.086	-0.00030	-0.1052	0.03299	
0.5850	1.010	-0.00029	-0.1078	0.03298	
0.5900	0.9243	-0.00032	-0.1101	0.03296	
0.5950	0.8303	-0.00033	-0.1120	0.03291	
0.6000	0.7329	-0.00032	-0.1137	0.03285	
0.6050	0.6379	-0.00034	-0.1152	0.03277	
0.6100	0.5490	-0.00036	-0.1163	0.03267	
0.6150	0.4678	-0.00034	-0.1172	0.03256	
0.6200	0.3948	-0.00034	-0.1177	0.03245	
0.6250	0.3298	-0.00035	-0.1179	0.03238	
0.6300	0.2725	-0.00033	-0.1177	0.03230	
0.6350	0.2222	-0.00030	-0.1172	0.03219	
0.6400	0.1775	-0.00030	-0.1165	0.03209	
0.6450	0.1373	-0.00030	-0.1154	0.03198	
0.6500	0.1000	-0.00027	-0.1141	0.03190	
0.6550	0.06446	-0.00027	-0.1125	0.03181	
0.6600	0.02782	-0.00028	-0.1108	0.03169	
0.6650	-0.01346	-0.00026	-0.1088	0.03157	
0.6700	-0.06399	-0.00025	-0.1067	0.03146	
0.6750	-0.1266	-0.00027	-0.1045	0.03137	
0.6800	-0.1991	-0.00027	-0.1021	0.03125	
0.6850	-0.2831	-0.00026	-0.09969	0.03108	
0.6900	-0.3781	-0.00029	-0.09718	0.03091	
0.6950	-0.4825	-0.00030	-0.09452	0.03072	
0.7000	-0.5926	-0.00029	-0.09182	0.03053	
0.7050	-0.7020	-0.00029	-0.08913	0.03034	
0.7100	-0.8023	-0.00030	-0.08640	0.03015	
0.7150	-0.8824	-0.00027	-0.08373	0.02996	
0.7200	-0.9360	-0.00025	-0.08120	0.02975	
0.7250	-0.9622	-0.00025	-0.07873	0.02955	
0.7300	-0.9599	-0.00022	-0.07631	0.02940	
0.7350	-0.9311	-0.00018	-0.07401	0.02927	
0.7400	-0.8822	-0.00018	-0.07174	0.02914	
0.7450	-0.8203	-0.00016	-0.06945	0.02902	
0.7500	-0.7518	-0.00013	-0.06717	0.02896	
0.7550	-0.6829	-0.00013	-0.06492	0.02891	
0.7600	-0.6196	-0.00014	-0.06261	0.02884	
0.7650	-0.5670	-0.00013	-0.06034	0.02875	
0.7700	-0.5299	-0.00013	-0.05818	0.02869	
0.7750	-0.5122	-0.00017	-0.05605	0.02862	
