Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	2.408	-0.00018	0.02973	0.02849	
0.00500	2.390	-0.00022	0.02255	0.02851	
0.01000	2.348	-0.00023	0.01554	0.02854	
0.01500	2.287	-0.00026	0.00876	0.02863	
0.02000	2.207	-0.00030	0.00231	0.02867	
0.02500	2.114	-0.00032	-0.00371	0.02869	
0.03000	2.005	-0.00033	-0.00933	0.02872	
0.03500	1.884	-0.00037	-0.01446	0.02872	
0.04000	1.752	-0.00039	-0.01902	0.02868	
0.04500	1.609	-0.00037	-0.02310	0.02861	
0.05000	1.457	-0.00039	-0.02672	0.02859	
0.05500	1.300	-0.00041	-0.02980	0.02857	
0.06000	1.145	-0.00040	-0.03236	0.02850	
0.06500	0.9961	-0.00040	-0.03442	0.02840	
0.07000	0.8545	-0.00042	-0.03590	0.02837	
0.07500	0.7216	-0.00042	-0.03678	0.02832	
0.08000	0.5964	-0.00040	-0.03713	0.02830	
0.08500	0.4757	-0.00041	-0.03691	0.02822	
0.09000	0.3543	-0.00041	-0.03608	0.02814	
0.09500	0.2224	-0.00039	-0.03475	0.02807	
0.1000	0.07291	-0.00039	-0.03297	0.02799	
0.1050	-0.09957	-0.00041	-0.03070	0.02793	
0.1100	-0.2971	-0.00040	-0.02801	0.02784	
0.1150	-0.5156	-0.00041	-0.02499	0.02775	
0.1200	-0.7448	-0.00045	-0.02161	0.02767	
0.1250	-0.9709	-0.00046	-0.01792	0.02760	
0.1300	-1.180	-0.00047	-0.01407	0.02757	
0.1350	-1.361	-0.00049	-0.01004	0.02756	
0.1400	-1.510	-0.00049	-0.00587	0.02751	
0.1450	-1.623	-0.00045	-0.00172	0.02748	
0.1500	-1.700	-0.00043	0.00232	0.02749	
0.1550	-1.739	-0.00041	0.00633	0.02751	
0.1600	-1.737	-0.00036	0.01019	0.02757	
0.1650	-1.693	-0.00033	0.01379	0.02761	
0.1700	-1.613	-0.00030	0.01716	0.02772	
0.1750	-1.505	-0.00026	0.02024	0.02785	
0.1800	-1.379	-0.00021	0.02291	0.02798	
0.1850	-1.242	-0.00019	0.02515	0.02818	
0.1900	-1.099	-0.00017	0.02698	0.02838	
0.1950	-0.9505	-0.00013	0.02827	0.02861	
0.2000	-0.7918	-0.00012	0.02898	0.02891	
0.2050	-0.6216	-0.00013	0.02920	0.02907	
0.2100	-0.4402	-0.00010	0.02888	0.02934	
0.2150	-0.2468	0.000	0.02795	0.02955	
0.2200	-0.04047	0.000	0.02645	0.02979	
0.2250	0.1794	0.000	0.02437	0.03011	
0.2300	0.4124	0.000	0.02163	0.03046	
0.2350	0.6567	0.000	0.01828	0.03072	
0.2400	0.9087	0.000	0.01436	0.03110	
0.2450	1.163	0.000	0.00986	0.03148	
0.2500	1.415	0.000	0.00478	0.03192	
0.2550	1.657	0.000	-0.00079	0.03233	
0.2600	1.884	0.000	-0.00687	0.03267	
0.2650	2.088	0.000	-0.01349	0.03292	
0.2700	2.263	0.000	-0.02051	0.03299	
0.2750	2.405	0.000	-0.02788	0.03301	
0.2800	2.515	0.000	-0.03557	0.03298	
0.2850	2.595	0.000	-0.04345	0.03289	
0.2900	2.644	0.000	-0.05138	0.03276	
0.2950	2.664	-0.00010	-0.05934	0.03264	
0.3000	2.657	-0.00014	-0.06727	0.03260	
0.3050	2.623	-0.00018	-0.07507	0.03260	
0.3100	2.562	-0.00020	-0.08272	0.03259	
0.3150	2.476	-0.00022	-0.09019	0.03262	
0.3200	2.369	-0.00027	-0.09734	0.03261	
0.3250	2.240	-0.00029	-0.1041	0.03261	
0.3300	2.097	-0.00030	-0.1105	0.03263	
0.3350	1.943	-0.00033	-0.1164	0.03263	
0.3400	1.779	-0.00035	-0.1218	0.03260	
0.3450	1.605	-0.00035	-0.1265	0.03250	
0.3500	1.427	-0.00037	-0.1308	0.03236	
0.3550	1.252	-0.00040	-0.1345	0.03221	
0.3600	1.085	-0.00039	-0.1375	0.03202	
0.3650	0.9306	-0.00039	-0.1398	0.03187	
0.3700	0.7891	-0.00041	-0.1414	0.03174	
0.3750	0.6599	-0.00040	-0.1421	0.03154	
0.3800	0.5415	-0.00038	-0.1421	0.03138	
0.3850	0.4308	-0.00039	-0.1415	0.03117	
0.3900	0.3220	-0.00039	-0.1400	0.03099	
0.3950	0.2042	-0.00036	-0.1379	0.03082	
0.4000	0.06318	-0.00037	-0.1352	0.03069	
0.4050	-0.1107	-0.00039	-0.1319	0.03054	
0.4100	-0.3224	-0.00038	-0.1280	0.03039	
0.4150	-0.5689	-0.00039	-0.1236	0.03019	
0.4200	-0.8420	-0.00042	-0.1186	0.02998	
0.4250	-1.133	-0.00042	-0.1132	0.02978	
0.4300	-1.431	-0.00041	-0.1074	0.02959	
0.4350	-1.718	-0.00042	-0.1012	0.02942	
0.4400	-1.983	-0.00040	-0.09469	0.02925	
0.4450	-2.214	-0.00035	-0.08800	0.02906	
0.4500	-2.408	-0.00032	-0.08118	0.02883	
0.4550	-2.562	-0.00030	-0.07421	0.02862	
0.4600	-2.676	-0.00025	-0.06719	0.02842	
0.4650	-2.749	-0.00022	-0.06024	0.02827	
0.4700	-2.778	-0.00021	-0.05329	0.02809	
0.4750	-2.762	-0.00017	-0.04635	0.02793	
0.4800	-2.703	-0.00013	-0.03952	0.02782	
