Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-0.08615	-0.00016	0.3175	0.02977	
0.00500	-0.07030	-0.00017	0.3170	0.02990	
0.01000	-0.05510	-0.00017	0.3164	0.03000	
0.01500	-0.04174	-0.00016	0.3157	0.03011	
0.02000	-0.03067	-0.00018	0.3150	0.03021	
0.02500	-0.02171	-0.00019	0.3143	0.03032	
0.03000	-0.01456	-0.00017	0.3134	0.03045	
0.03500	-0.00891	-0.00018	0.3125	0.03057	
0.04000	-0.00430	-0.00020	0.3116	0.03067	
0.04500	-0.00018	-0.00019	0.3107	0.03074	
0.05000	0.00392	-0.00018	0.3095	0.03082	
0.05500	0.00833	-0.00021	0.3084	0.03093	
0.06000	0.01336	-0.00020	0.3072	0.03103	
0.06500	0.01911	-0.00018	0.3060	0.03114	
0.07000	0.02533	-0.00020	0.3047	0.03127	
0.07500	0.03148	-0.00020	0.3034	0.03142	
0.08000	0.03687	-0.00019	0.3020	0.03157	
0.08500	0.04104	-0.00020	0.3006	0.03166	
0.09000	0.04382	-0.00022	0.2993	0.03167	
0.09500	0.04518	-0.00020	0.2980	0.03157	
0.1000	0.04522	-0.00020	0.2967	0.03149	
0.1050	0.04434	-0.00021	0.2956	0.03144	
0.1100	0.04307	-0.00021	0.2946	0.03146	
0.1150	0.04182	-0.00019	0.2936	0.03148	
0.1200	0.04083	-0.00021	0.2927	0.03148	
0.1250	0.04030	-0.00021	0.2919	0.03147	
0.1300	0.04051	-0.00020	0.2911	0.03145	
0.1350	0.04211	-0.00020	0.2904	0.03142	
0.1400	0.04637	-0.00021	0.2898	0.03138	
0.1450	0.05477	-0.00020	0.2893	0.03139	
0.1500	0.06729	-0.00019	0.2889	0.03143	
0.1550	0.08199	-0.00021	0.2885	0.03148	
0.1600	0.09690	-0.00020	0.2882	0.03152	
0.1650	0.1119	-0.00018	0.2879	0.03161	
0.1700	0.1272	-0.00019	0.2877	0.03165	
0.1750	0.1416	-0.00020	0.2875	0.03169	
0.1800	0.1517	-0.00018	0.2874	0.03166	
0.1850	0.1552	-0.00019	0.2874	0.03154	
0.1900	0.1528	-0.00021	0.2875	0.03141	
0.1950	0.1464	-0.00019	0.2876	0.03129	
0.2000	0.1372	-0.00019	0.2878	0.03113	
0.2050	0.1264	-0.00021	0.2879	0.03099	
0.2100	0.1147	-0.00020	0.2882	0.03085	
0.2150	0.1026	-0.00018	0.2884	0.03072	
0.2200	0.09022	-0.00020	0.2887	0.03056	
0.2250	0.07768	-0.00021	0.2891	0.03043	
0.2300	0.06538	-0.00019	0.2897	0.03029	
0.2350	0.05402	-0.00020	0.2904	0.03015	
0.2400	0.04402	-0.00022	0.2913	0.02999	
0.2450	0.03538	-0.00021	0.2924	0.02984	
0.2500	0.02788	-0.00020	0.2935	0.02971	
0.2550	0.02112	-0.00021	0.2947	0.02957	
0.2600	0.01461	-0.00021	0.2961	0.02941	
0.2650	0.00805	-0.00020	0.2974	0.02929	
0.2700	0.00141	-0.00021	0.2989	0.02919	
0.2750	-0.00511	-0.00022	0.3005	0.02909	
0.2800	-0.01122	-0.00020	0.3021	0.02901	
0.2850	-0.01689	-0.00020	0.3037	0.02892	
0.2900	-0.02244	-0.00021	0.3055	0.02886	
0.2950	-0.02825	-0.00020	0.3073	0.02880	
0.3000	-0.03494	-0.00020	0.3091	0.02873	
0.3050	-0.04408	-0.00021	0.3109	0.02866	
0.3100	-0.05854	-0.00021	0.3128	0.02858	
0.3150	-0.08165	-0.00019	0.3146	0.02848	
0.3200	-0.1185	-0.00021	0.3165	0.02835	
0.3250	-0.1716	-0.00022	0.3183	0.02822	
0.3300	-0.2380	-0.00022	0.3201	0.02809	
0.3350	-0.3142	-0.00023	0.3218	0.02797	
0.3400	-0.3922	-0.00026	0.3234	0.02783	
0.3450	-0.4667	-0.00026	0.3250	0.02769	
0.3500	-0.5316	-0.00026	0.3266	0.02754	
0.3550	-0.5801	-0.00029	0.3281	0.02742	
0.3600	-0.6115	-0.00028	0.3296	0.02729	
0.3650	-0.6288	-0.00026	0.3310	0.02717	
0.3700	-0.6334	-0.00027	0.3323	0.02709	
0.3750	-0.6241	-0.00026	0.3335	0.02704	
0.3800	-0.6005	-0.00023	0.3347	0.02699	
0.3850	-0.5655	-0.00022	0.3359	0.02694	
0.3900	-0.5229	-0.00023	0.3371	0.02690	
0.3950	-0.4762	-0.00021	0.3382	0.02689	
0.4000	-0.4281	-0.00019	0.3393	0.02690	
0.4050	-0.3805	-0.00021	0.3405	0.02691	
0.4100	-0.3348	-0.00020	0.3416	0.02694	
0.4150	-0.2919	-0.00019	0.3426	0.02698	
0.4200	-0.2523	-0.00021	0.3435	0.02703	
0.4250	-0.2162	-0.00021	0.3444	0.02707	
0.4300	-0.1837	-0.00020	0.3453	0.02712	
0.4350	-0.1547	-0.00020	0.3461	0.02718	
0.4400	-0.1290	-0.00022	0.3469	0.02723	
0.4450	-0.1066	-0.00020	0.3475	0.02725	
0.4500	-0.08708	-0.00019	0.3479	0.02728	
0.4550	-0.07034	-0.00021	0.3482	0.02733	
0.4600	-0.05608	-0.00020	0.3485	0.02738	
0.4650	-0.04407	-0.00018	0.3485	0.02742	
0.4700	-0.03404	-0.00020	0.3485	0.02748	
0.4750	-0.02576	-0.00021	0.3484	0.02756	
