Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-2.246	-0.00207	0.1082	0.00129	
0.00500	-2.329	-0.00207	0.1008	0.00157	
0.01000	-2.390	-0.00211	0.09316	0.00182	
0.01500	-2.432	-0.00213	0.08537	0.00205	
0.02000	-2.460	-0.00214	0.07739	0.00226	
0.02500	-2.477	-0.00218	0.06929	0.00245	
0.03000	-2.485	-0.00222	0.06122	0.00262	
0.03500	-2.487	-0.00223	0.05317	0.00277	
0.04000	-2.482	-0.00226	0.04520	0.00291	
0.04500	-2.470	-0.00229	0.03739	0.00303	
0.05000	-2.448	-0.00229	0.02978	0.00314	
0.05500	-2.415	-0.00228	0.02238	0.00323	
0.06000	-2.367	-0.00232	0.01534	0.00331	
0.06500	-2.299	-0.00232	0.00874	0.00338	
0.07000	-2.208	-0.00232	0.00256	0.00344	
0.07500	-2.093	-0.00235	-0.00313	0.00350	
0.08000	-1.958	-0.00238	-0.00826	0.00354	
0.08500	-1.804	-0.00238	-0.01287	0.00357	
0.09000	-1.637	-0.00240	-0.01695	0.00356	
0.09500	-1.465	-0.00243	-0.02041	0.00352	
0.1000	-1.294	-0.00243	-0.02329	0.00345	
0.1050	-1.128	-0.00242	-0.02566	0.00334	
0.1100	-0.9681	-0.00245	-0.02742	0.00322	
0.1150	-0.8175	-0.00244	-0.02854	0.00310	
0.1200	-0.6772	-0.00241	-0.02906	0.00297	
0.1250	-0.5467	-0.00242	-0.02896	0.00283	
0.1300	-0.4189	-0.00242	-0.02821	0.00269	
0.1350	-0.2799	-0.00240	-0.02696	0.00255	
0.1400	-0.1179	-0.00240	-0.02526	0.00240	
0.1450	0.07310	-0.00242	-0.02303	0.00225	
0.1500	0.2926	-0.00242	-0.02036	0.00207	
0.1550	0.5335	-0.00242	-0.01734	0.00187	
0.1600	0.7850	-0.00246	-0.01395	0.00165	
0.1650	1.034	-0.00247	-0.01021	0.00142	
0.1700	1.267	-0.00246	-0.00624	0.00120	
0.1750	1.474	-0.00248	-0.00202	0.00096	
0.1800	1.648	-0.00248	0.00250	0.00073	
0.1850	1.784	-0.00245	0.00717	0.00050	
0.1900	1.880	-0.00244	0.01192	0.00030	
0.1950	1.936	-0.00245	0.01679	0.000	
0.2000	1.957	-0.00241	0.02172	0.000	
0.2050	1.946	-0.00238	0.02661	-0.00025	
