Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	2.163	-0.00246	0.06550	-0.00213	
0.00500	2.096	-0.00242	0.07224	-0.00218	
0.01000	2.010	-0.00239	0.07876	-0.00222	
0.01500	1.907	-0.00239	0.08505	-0.00223	
0.02000	1.795	-0.00236	0.09108	-0.00223	
0.02500	1.679	-0.00233	0.09669	-0.00222	
0.03000	1.556	-0.00232	0.1018	-0.00220	
0.03500	1.429	-0.00232	0.1065	-0.00217	
0.04000	1.295	-0.00230	0.1106	-0.00213	
0.04500	1.160	-0.00230	0.1140	-0.00204	
0.05000	1.026	-0.00231	0.1169	-0.00193	
0.05500	0.8979	-0.00229	0.1192	-0.00178	
0.06000	0.7778	-0.00228	0.1208	-0.00163	
0.06500	0.6669	-0.00230	0.1217	-0.00146	
0.07000	0.5652	-0.00231	0.1220	-0.00126	
0.07500	0.4714	-0.00230	0.1217	-0.00106	
0.08000	0.3816	-0.00233	0.1208	-0.00089	
0.08500	0.2893	-0.00235	0.1193	-0.00073	
0.09000	0.1881	-0.00234	0.1174	-0.00056	
0.09500	0.07426	-0.00235	0.1149	-0.00041	
0.1000	-0.05813	-0.00237	0.1120	-0.00027	
0.1050	-0.2138	-0.00236	0.1087	-0.00011	
0.1100	-0.3947	-0.00234	0.1051	0.000	
0.1150	-0.5967	-0.00235	0.1011	0.00020	
0.1200	-0.8113	-0.00234	0.09694	0.00038	
0.1250	-1.027	-0.00230	0.09248	0.00056	
0.1300	-1.231	-0.00230	0.08783	0.00073	
0.1350	-1.412	-0.00231	0.08312	0.00091	
0.1400	-1.562	-0.00229	0.07828	0.00107	
0.1450	-1.677	-0.00230	0.07335	0.00125	
0.1500	-1.754	-0.00233	0.06846	0.00142	
0.1550	-1.796	-0.00234	0.06361	0.00156	
0.1600	-1.801	-0.00236	0.05878	0.00169	
0.1650	-1.772	-0.00241	0.05410	0.00180	
