Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-1.526	-0.00233	0.08862	0.00176	
0.00500	-1.697	-0.00234	0.08298	0.00213	
0.01000	-1.837	-0.00232	0.07707	0.00249	
0.01500	-1.947	-0.00232	0.07085	0.00284	
0.02000	-2.027	-0.00236	0.06444	0.00317	
0.02500	-2.081	-0.00237	0.05784	0.00349	
0.03000	-2.115	-0.00239	0.05103	0.00379	
0.03500	-2.136	-0.00243	0.04409	0.00407	
0.04000	-2.153	-0.00246	0.03707	0.00434	
0.04500	-2.170	-0.00247	0.02993	0.00458	
0.05000	-2.190	-0.00249	0.02271	0.00482	
0.05500	-2.213	-0.00251	0.01551	0.00504	
0.06000	-2.235	-0.00250	0.00827	0.00525	
0.06500	-2.255	-0.00250	0.00097	0.00544	
0.07000	-2.272	-0.00252	-0.00631	0.00562	
0.07500	-2.282	-0.00251	-0.01352	0.00580	
0.08000	-2.283	-0.00249	-0.02069	0.00597	
0.08500	-2.271	-0.00251	-0.02775	0.00614	
0.09000	-2.244	-0.00252	-0.03460	0.00631	
0.09500	-2.199	-0.00251	-0.04127	0.00647	
0.1000	-2.137	-0.00252	-0.04767	0.00664	
0.1050	-2.055	-0.00255	-0.05370	0.00680	
0.1100	-1.955	-0.00255	-0.05946	0.00696	
0.1150	-1.838	-0.00256	-0.06498	0.00711	
0.1200	-1.708	-0.00259	-0.07018	0.00725	
0.1250	-1.565	-0.00260	-0.07503	0.00737	
0.1300	-1.414	-0.00260	-0.07958	0.00747	
0.1350	-1.262	-0.00262	-0.08373	0.00756	
0.1400	-1.113	-0.00263	-0.08742	0.00762	
0.1450	-0.9710	-0.00262	-0.09073	0.00766	
0.1500	-0.8387	-0.00262	-0.09366	0.00769	
0.1550	-0.7174	-0.00263	-0.09613	0.00768	
0.1600	-0.6077	-0.00261	-0.09818	0.00763	
0.1650	-0.5097	-0.00260	-0.09985	0.00755	
0.1700	-0.4232	-0.00261	-0.1011	0.00743	
0.1750	-0.3476	-0.00259	-0.1019	0.00729	
0.1800	-0.2823	-0.00256	-0.1023	0.00714	
0.1850	-0.2262	-0.00257	-0.1023	0.00697	
0.1900	-0.1780	-0.00256	-0.1018	0.00679	
0.1950	-0.1347	-0.00253	-0.1009	0.00658	
0.2000	-0.09209	-0.00254	-0.09958	0.00636	
0.2050	-0.04534	-0.00255	-0.09777	0.00613	
0.2100	0.00977	-0.00254	-0.09559	0.00589	
0.2150	0.08112	-0.00254	-0.09306	0.00565	
0.2200	0.1773	-0.00258	-0.09012	0.00540	
0.2250	0.3019	-0.00259	-0.08680	0.00513	
0.2300	0.4537	-0.00260	-0.08318	0.00487	
0.2350	0.6275	-0.00264	-0.07922	0.00460	
0.2400	0.8175	-0.00268	-0.07494	0.00430	
0.2450	1.016	-0.00268	-0.07048	0.00400	
0.2500	1.212	-0.00271	-0.06586	0.00369	
0.2550	1.393	-0.00274	-0.06101	0.00338	
0.2600	1.549	-0.00272	-0.05599	0.00306	
0.2650	1.673	-0.00271	-0.05089	0.00273	
0.2700	1.766	-0.00271	-0.04565	0.00240	
0.2750	1.827	-0.00267	-0.04028	0.00208	
0.2800	1.858	-0.00263	-0.03487	0.00178	
0.2850	1.862	-0.00261	-0.02940	0.00150	
0.2900	1.845	-0.00258	-0.02383	0.00124	
0.2950	1.811	-0.00253	-0.01825	0.00100	
0.3000	1.767	-0.00251	-0.01268	0.00079	
0.3050	1.718	-0.00251	-0.00704	0.00059	
0.3100	1.669	-0.00248	-0.00139	0.00042	
0.3150	1.621	-0.00247	0.00417	0.00027	
0.3200	1.576	-0.00248	0.00966	0.00013	
0.3250	1.531	-0.00247	0.01503	0.000	
0.3300	1.486	-0.00245	0.02018	-0.00010	
0.3350	1.438	-0.00246	0.02517	-0.00022	
0.3400	1.384	-0.00246	0.03000	-0.00032	
0.3450	1.325	-0.00244	0.03454	-0.00042	
0.3500	1.259	-0.00244	0.03881	-0.00051	
0.3550	1.185	-0.00245	0.04289	-0.00059	
0.3600	1.102	-0.00243	0.04667	-0.00067	
0.3650	1.011	-0.00241	0.05007	-0.00075	
0.3700	0.9158	-0.00242	0.05316	-0.00080	
0.3750	0.8193	-0.00241	0.05592	-0.00084	
0.3800	0.7245	-0.00240	0.05821	-0.00085	
0.3850	0.6338	-0.00241	0.06007	-0.00082	
0.3900	0.5488	-0.00242	0.06157	-0.00076	
0.3950	0.4705	-0.00241	0.06268	-0.00067	
0.4000	0.3994	-0.00242	0.06344	-0.00053	
0.4050	0.3358	-0.00245	0.06386	-0.00035	
0.4100	0.2795	-0.00243	0.06390	-0.00016	
0.4150	0.2302	-0.00243	0.06351	0.000	
0.4200	0.1869	-0.00246	0.06281	0.00032	
0.4250	0.1481	-0.00246	0.06185	0.00055	
0.4300	0.1106	-0.00245	0.06054	0.00078	
0.4350	0.06824	-0.00247	0.05892	0.00101	
0.4400	0.01436	-0.00247	0.05700	0.00125	
0.4450	-0.05314	-0.00245	0.05473	0.00149	
0.4500	-0.1380	-0.00245	0.05210	0.00172	
0.4550	-0.2426	-0.00245	0.04922	0.00197	
0.4600	-0.3665	-0.00242	0.04605	0.00220	
0.4650	-0.5070	-0.00240	0.04258	0.00245	
0.4700	-0.6588	-0.00241	0.03889	0.00270	
0.4750	-0.8156	-0.00239	0.03500	0.00295	
0.4800	-0.9710	-0.00238	0.03089	0.00321	
0.4850	-1.118	-0.00239	0.02666	0.00347	
0.4900	-1.251	-0.00240	0.02236	0.00372	
0.4950	-1.363	-0.00238	0.01791	0.00398	
0.5000	-1.450	-0.00239	0.01332	0.00423	
0.5050	-1.510	-0.00241	0.00871	0.00448	
0.5100	-1.541	-0.00241	0.00408	0.00472	
0.5150	-1.543	-0.00242	-0.00058	0.00494	
0.5200	-1.517	-0.00247	-0.00519	0.00514	
0.5250	-1.466	-0.00249	-0.00976	0.00531	
0.5300	-1.395	-0.00250	-0.01435	0.00547	
0.5350	-1.315	-0.00255	-0.01887	0.00561	
0.5400	-1.240	-0.00258	-0.02325	0.00574	
0.5450	-1.175	-0.00258	-0.02754	0.00585	
0.5500	-1.126	-0.00260	-0.03171	0.00594	
0.5550	-1.095	-0.00261	-0.03567	0.00602	
0.5600	-1.080	-0.00260	-0.03947	0.00610	
0.5650	-1.075	-0.00258	-0.04316	0.00616	
0.5700	-1.072	-0.00259	-0.04663	0.00624	
0.5750	-1.067	-0.00258	-0.04984	0.00631	
0.5800	-1.051	-0.00257	-0.05282	0.00637	
0.5850	-1.025	-0.00259	-0.05548	0.00643	
0.5900	-0.9903	-0.00260	-0.05777	0.00648	
0.5950	-0.9439	-0.00259	-0.05977	0.00652	
0.6000	-0.8832	-0.00261	-0.06153	0.00655	
0.6050	-0.8106	-0.00264	-0.06299	0.00657	
0.6100	-0.7310	-0.00264	-0.06419	0.00655	
0.6150	-0.6497	-0.00264	-0.06516	0.00650	
0.6200	-0.5703	-0.00267	-0.06579	0.00641	
0.6250	-0.4945	-0.00267	-0.06604	0.00629	
0.6300	-0.4220	-0.00266	-0.06599	0.00615	
0.6350	-0.3517	-0.00267	-0.06562	0.00598	
0.6400	-0.2833	-0.00268	-0.06490	0.00579	
0.6450	-0.2169	-0.00266	-0.06391	0.00559	
0.6500	-0.1500	-0.00266	-0.06263	0.00538	
0.6550	-0.07578	-0.00268	-0.06099	0.00516	
0.6600	0.01452	-0.00267	-0.05906	0.00493	
0.6650	0.1238	-0.00266	-0.05694	0.00469	
0.6700	0.2527	-0.00269	-0.05461	0.00444	
0.6750	0.3987	-0.00270	-0.05211	0.00416	
0.6800	0.5553	-0.00271	-0.04951	0.00387	
0.6850	0.7115	-0.00274	-0.04673	0.00357	
0.6900	0.8550	-0.00275	-0.04370	0.00326	
0.6950	0.9782	-0.00273	-0.04053	0.00293	
0.7000	1.076	-0.00273	-0.03723	0.00261	
0.7050	1.150	-0.00273	-0.03374	0.00229	
0.7100	1.201	-0.00270	-0.03010	0.00199	
0.7150	1.233	-0.00267	-0.02635	0.00169	
0.7200	1.252	-0.00267	-0.02243	0.00142	
0.7250	1.265	-0.00265	-0.01834	0.00117	
0.7300	1.276	-0.00262	-0.01418	0.00093	
0.7350	1.291	-0.00263	-0.00991	0.00072	
0.7400	1.313	-0.00263	-0.00549	0.00052	
0.7450	1.342	-0.00261	-0.00097	0.00033	
0.7500	1.377	-0.00262	0.00362	0.00016	
0.7550	1.411	-0.00264	0.00833	0.000	
0.7600	1.440	-0.00263	0.01304	-0.00016	
0.7650	1.460	-0.00262	0.01766	-0.00032	
0.7700	1.466	-0.00264	0.02227	-0.00047	
0.7750	1.454	-0.00262	0.02685	-0.00061	
0.7800	1.425	-0.00259	0.03131	-0.00075	
0.7850	1.380	-0.00259	0.03568	-0.00088	
0.7900	1.320	-0.00258	0.03995	-0.00100	
0.7950	1.252	-0.00253	0.04404	-0.00113	
0.8000	1.183	-0.00251	0.04794	-0.00124	
0.8050	1.115	-0.00251	0.05168	-0.00135	
0.8100	1.048	-0.00248	0.05521	-0.00144	
0.8150	0.9800	-0.00246	0.05846	-0.00154	
0.8200	0.9161	-0.00248	0.06155	-0.00162	
0.8250	0.8588	-0.00247	0.06446	-0.00170	
0.8300	0.8057	-0.00246	0.06708	-0.00178	
0.8350	0.7527	-0.00247	0.06946	-0.00184	
0.8400	0.6983	-0.00248	0.07161	-0.00190	
0.8450	0.6412	-0.00246	0.07348	-0.00194	
0.8500	0.5814	-0.00246	0.07501	-0.00196	
0.8550	0.5204	-0.00248	0.07631	-0.00196	
0.8600	0.4604	-0.00246	0.07735	-0.00193	
0.8650	0.4029	-0.00246	0.07813	-0.00187	
0.8700	0.3490	-0.00248	0.07871	-0.00178	
0.8750	0.2993	-0.00248	0.07909	-0.00165	
0.8800	0.2542	-0.00248	0.07918	-0.00149	
0.8850	0.2137	-0.00250	0.07903	-0.00131	
0.8900	0.1775	-0.00252	0.07870	-0.00111	
0.8950	0.1449	-0.00250	0.07815	-0.00089	
0.9000	0.1156	-0.00251	0.07736	-0.00068	
0.9050	0.08965	-0.00254	0.07642	-0.00048	
0.9100	0.06715	-0.00253	0.07530	-0.00030	
0.9150	0.04722	-0.00253	0.07392	-0.00012	
0.9200	0.02794	-0.00255	0.07237	0.000	
0.9250	0.00531	-0.00255	0.07068	0.00020	
0.9300	-0.02709	-0.00253	0.06880	0.00034	
0.9350	-0.07274	-0.00254	0.06682	0.00049	
0.9400	-0.1309	-0.00254	0.06483	0.00062	
0.9450	-0.2034	-0.00250	0.06277	0.00077	
0.9500	-0.2874	-0.00249	0.06064	0.00091	
0.9550	-0.3779	-0.00249	0.05850	0.00106	
0.9600	-0.4651	-0.00247	0.05633	0.00120	
0.9650	-0.5413	-0.00246	0.05409	0.00135	
0.9700	-0.6020	-0.00249	0.05188	0.00150	
0.9750	-0.6416	-0.00249	0.04973	0.00164	
0.9800	-0.6577	-0.00248	0.04759	0.00178	
0.9850	-0.6523	-0.00251	0.04555	0.00191	
0.9900	-0.6297	-0.00253	0.04369	0.00203	
0.9950	-0.5945	-0.00253	0.04195	0.00214	
1.000	-0.5509	-0.00255	0.04034	0.00224	
1.005	-0.5026	-0.00258	0.03894	0.00232	
1.010	-0.4522	-0.00257	0.03771	0.00240	
1.015	-0.4020	-0.00257	0.03659	0.00246	
1.020	-0.3533	-0.00259	0.03566	0.00250	
1.025	-0.3073	-0.00259	0.03490	0.00253	
1.030	-0.2646	-0.00257	0.03423	0.00255	
1.035	-0.2257	-0.00259	0.03367	0.00254	
1.040	-0.1906	-0.00259	0.03328	0.00251	
1.045	-0.1594	-0.00257	0.03300	0.00246	
1.050	-0.1319	-0.00258	0.03282	0.00239	
1.055	-0.1080	-0.00259	0.03280	0.00230	
1.060	-0.08746	-0.00258	0.03288	0.00221	
1.065	-0.06990	-0.00258	0.03300	0.00211	
1.070	-0.05508	-0.00259	0.03327	0.00199	
1.075	-0.04267	-0.00259	0.03373	0.00186	
1.080	-0.03240	-0.00257	0.03433	0.00169	
1.085	-0.02399	-0.00258	0.03512	0.00151	
1.090	-0.01717	-0.00259	0.03615	0.00132	
1.095	-0.01168	-0.00257	0.03728	0.00112	
1.100	-0.00718	-0.00257	0.03851	0.00091	
1.105	-0.00315	-0.00259	0.03991	0.00071	
1.110	0.00079	-0.00257	0.04143	0.00051	
1.115	0.00455	-0.00257	0.04300	0.00031	
1.120	0.00808	-0.00259	0.04473	0.00013	
1.125	0.01176	-0.00258	0.04658	0.000	
1.130	0.01632	-0.00257	0.04843	-0.00017	
1.135	0.02283	-0.00258	0.05028	-0.00030	
1.140	0.03340	-0.00260	0.05221	-0.00041	
1.145	0.05191	-0.00258	0.05412	-0.00052	
1.150	0.07848	-0.00259	0.05596	-0.00061	
1.155	0.1077	-0.00261	0.05775	-0.00069	
1.160	0.1348	-0.00261	0.05943	-0.00075	
1.165	0.1580	-0.00260	0.06092	-0.00081	
1.170	0.1761	-0.00262	0.06225	-0.00085	
1.175	0.1874	-0.00261	0.06338	-0.00087	
1.180	0.1908	-0.00259	0.06421	-0.00087	
1.185	0.1876	-0.00259	0.06478	-0.00084	
1.190	0.1796	-0.00259	0.06519	-0.00078	
1.195	0.1683	-0.00257	0.06535	-0.00071	
1.200	0.1550	-0.00257	0.06524	-0.00062	
1.205	0.1407	-0.00258	0.06492	-0.00050	
1.210	0.1260	-0.00255	0.06443	-0.00036	
1.215	0.1115	-0.00254	0.06378	-0.00021	
1.220	0.09755	-0.00256	0.06303	0.000	
1.225	0.08449	-0.00255	0.06220	0.00014	
