Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	0.1181	-0.00014	-0.00062	0.04335	
0.00500	0.04343	-0.00011	-0.00061	0.04307	
0.01000	-0.05683	-0.00012	-0.00061	0.04280	
0.01500	-0.1890	-0.00014	-0.00060	0.04252	
0.02000	-0.3551	-0.00014	-0.00059	0.04223	
0.02500	-0.5542	-0.00016	-0.00058	0.04191	
0.03000	-0.7812	-0.00020	-0.00057	0.04156	
0.03500	-1.025	-0.00023	-0.00056	0.04121	
0.04000	-1.270	-0.00025	-0.00054	0.04085	
0.04500	-1.500	-0.00029	-0.00053	0.04049	
0.05000	-1.707	-0.00031	-0.00052	0.04009	
0.05500	-1.886	-0.00029	-0.00051	0.03969	
0.06000	-2.037	-0.00028	-0.00049	0.03930	
0.06500	-2.165	-0.00028	-0.00048	0.03893	
0.07000	-2.273	-0.00026	-0.00047	0.03856	
0.07500	-2.365	-0.00024	-0.00045	0.03824	
0.08000	-2.443	-0.00024	-0.00043	0.03793	
0.08500	-2.513	-0.00022	-0.00042	0.03761	
0.09000	-2.585	-0.00018	-0.00040	0.03728	
0.09500	-2.664	-0.00018	-0.00038	0.03693	
0.1000	-2.757	-0.00017	-0.00036	0.03657	
0.1050	-2.866	-0.00015	-0.00033	0.03618	
0.1100	-2.987	-0.00016	-0.00031	0.03580	
0.1150	-3.111	-0.00017	-0.00029	0.03545	
0.1200	-3.230	-0.00016	-0.00027	0.03512	
0.1250	-3.339	-0.00014	-0.00024	0.03476	
0.1300	-3.434	-0.00014	-0.00022	0.03440	
0.1350	-3.507	-0.00011	-0.00020	0.03406	
0.1400	-3.556	0.000	-0.00018	0.03373	
0.1450	-3.579	0.000	-0.00016	0.03340	
0.1500	-3.582	0.000	-0.00014	0.03306	
0.1550	-3.572	0.000	-0.00012	0.03272	
0.1600	-3.557	0.000	0.000	0.03239	
0.1650	-3.543	0.000	0.000	0.03207	
0.1700	-3.531	0.00011	0.000	0.03177	
0.1750	-3.520	0.00013	0.000	0.03150	
0.1800	-3.508	0.00011	0.000	0.03124	
0.1850	-3.495	0.00011	0.000	0.03096	
0.1900	-3.480	0.00012	0.000	0.03064	
0.1950	-3.461	0.000	0.000	0.03029	
0.2000	-3.436	0.000	0.000	0.02995	
0.2050	-3.400	0.00013	0.000	0.02962	
0.2100	-3.349	0.00014	0.000	0.02936	
0.2150	-3.282	0.00014	0.00011	0.02911	
0.2200	-3.199	0.00017	0.00013	0.02886	
0.2250	-3.101	0.00019	0.00015	0.02860	
0.2300	-2.990	0.00018	0.00017	0.02834	
0.2350	-2.867	0.00019	0.00018	0.02808	
0.2400	-2.734	0.00021	0.00020	0.02786	
0.2450	-2.594	0.00019	0.00022	0.02767	
0.2500	-2.449	0.00019	0.00023	0.02753	
0.2550	-2.298	0.00021	0.00024	0.02741	
0.2600	-2.143	0.00020	0.00026	0.02730	
0.2650	-1.987	0.00018	0.00027	0.02720	
0.2700	-1.828	0.00018	0.00028	0.02710	
0.2750	-1.665	0.00018	0.00029	0.02704	
0.2800	-1.497	0.00015	0.00030	0.02697	
0.2850	-1.330	0.00014	0.00031	0.02691	
0.2900	-1.169	0.00015	0.00032	0.02687	
0.2950	-1.016	0.00012	0.00032	0.02689	
0.3000	-0.8746	0.00011	0.00033	0.02699	
0.3050	-0.7455	0.00011	0.00033	0.02710	
0.3100	-0.6293	0.000	0.00033	0.02726	
0.3150	-0.5260	0.000	0.00033	0.02745	
0.3200	-0.4349	0.000	0.00033	0.02764	
0.3250	-0.3541	0.000	0.00033	0.02786	
0.3300	-0.2791	0.000	0.00033	0.02811	
0.3350	-0.2037	0.000	0.00033	0.02840	
