Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-2.605	0.00107	0.06389	0.03557	
0.00500	-2.584	0.00104	0.07248	0.03539	
0.01000	-2.569	0.00103	0.08088	0.03518	
0.01500	-2.549	0.00100	0.08905	0.03499	
0.02000	-2.518	0.00098	0.09705	0.03477	
0.02500	-2.472	0.00102	0.1048	0.03456	
0.03000	-2.407	0.00107	0.1122	0.03438	
0.03500	-2.325	0.00108	0.1194	0.03418	
0.04000	-2.224	0.00113	0.1264	0.03395	
0.04500	-2.107	0.00119	0.1329	0.03372	
0.05000	-1.978	0.00120	0.1391	0.03357	
0.05500	-1.838	0.00121	0.1449	0.03346	
0.06000	-1.687	0.00124	0.1502	0.03341	
0.06500	-1.525	0.00123	0.1550	0.03332	
0.07000	-1.358	0.00121	0.1593	0.03322	
0.07500	-1.193	0.00122	0.1632	0.03314	
0.08000	-1.037	0.00122	0.1666	0.03311	
0.08500	-0.8923	0.00117	0.1695	0.03311	
0.09000	-0.7603	0.00116	0.1721	0.03315	
0.09500	-0.6415	0.00115	0.1742	0.03316	
0.1000	-0.5359	0.00110	0.1760	0.03319	
0.1050	-0.4432	0.00105	0.1774	0.03326	
0.1100	-0.3626	0.00105	0.1785	0.03335	
0.1150	-0.2931	0.00102	0.1792	0.03349	
0.1200	-0.2340	0.00098	0.1795	0.03366	
0.1250	-0.1840	0.00098	0.1794	0.03383	
0.1300	-0.1418	0.00097	0.1789	0.03399	
0.1350	-0.1044	0.00093	0.1781	0.03415	
0.1400	-0.06794	0.00092	0.1769	0.03434	
0.1450	-0.02950	0.00092	0.1753	0.03457	
0.1500	0.01210	0.00090	0.1735	0.03478	
0.1550	0.05827	0.00088	0.1715	0.03485	
0.1600	0.1138	0.00090	0.1693	0.03483	
0.1650	0.1814	0.00089	0.1669	0.03488	
0.1700	0.2610	0.00088	0.1644	0.03501	
0.1750	0.3522	0.00091	0.1616	0.03520	
0.1800	0.4518	0.00093	0.1586	0.03546	
0.1850	0.5557	0.00092	0.1553	0.03572	
0.1900	0.6618	0.00094	0.1519	0.03595	
0.1950	0.7670	0.00098	0.1482	0.03622	
0.2000	0.8681	0.00097	0.1444	0.03654	
0.2050	0.9630	0.00096	0.1407	0.03691	
0.2100	1.050	0.00099	0.1369	0.03727	
0.2150	1.127	0.00098	0.1330	0.03762	
0.2200	1.197	0.00096	0.1292	0.03789	
0.2250	1.257	0.00097	0.1252	0.03820	
0.2300	1.311	0.00096	0.1210	0.03846	
0.2350	1.357	0.00092	0.1168	0.03873	
0.2400	1.399	0.00091	0.1124	0.03894	
0.2450	1.437	0.00092	0.1077	0.03919	
0.2500	1.474	0.00088	0.1029	0.03941	
0.2550	1.509	0.00086	0.09805	0.03960	
0.2600	1.543	0.00087	0.09296	0.03976	
0.2650	1.576	0.00086	0.08767	0.03993	
0.2700	1.612	0.00084	0.08234	0.04016	
0.2750	1.650	0.00086	0.07694	0.04039	
0.2800	1.690	0.00088	0.07143	0.04060	
0.2850	1.730	0.00086	0.06588	0.04077	
0.2900	1.767	0.00088	0.06028	0.04097	
0.2950	1.800	0.00091	0.05457	0.04114	
0.3000	1.824	0.00090	0.04876	0.04141	
0.3050	1.837	0.00089	0.04290	0.04162	
0.3100	1.837	0.00090	0.03695	0.04179	
0.3150	1.822	0.00088	0.03097	0.04192	
0.3200	1.796	0.00084	0.02510	0.04200	
0.3250	1.762	0.00084	0.01928	0.04211	
0.3300	1.725	0.00084	0.01344	0.04223	
0.3350	1.690	0.00080	0.00766	0.04237	
0.3400	1.663	0.00080	0.00196	0.04246	
0.3450	1.645	0.00083	-0.00371	0.04258	
0.3500	1.635	0.00081	-0.00927	0.04271	
0.3550	1.629	0.00081	-0.01462	0.04286	
0.3600	1.625	0.00084	-0.01989	0.04296	
0.3650	1.615	0.00084	-0.02506	0.04305	
0.3700	1.597	0.00083	-0.03005	0.04314	
0.3750	1.565	0.00085	-0.03490	0.04326	
0.3800	1.520	0.00086	-0.03971	0.04332	
0.3850	1.464	0.00084	-0.04438	0.04340	
0.3900	1.393	0.00084	-0.04889	0.04336	
0.3950	1.309	0.00085	-0.05329	0.04340	
0.4000	1.216	0.00083	-0.05748	0.04341	
0.4050	1.120	0.00081	-0.06134	0.04337	
0.4100	1.024	0.00083	-0.06493	0.04332	
0.4150	0.9289	0.00081	-0.06823	0.04325	
0.4200	0.8326	0.00078	-0.07109	0.04315	
0.4250	0.7376	0.00079	-0.07358	0.04307	
0.4300	0.6463	0.00079	-0.07577	0.04295	
0.4350	0.5605	0.00076	-0.07753	0.04277	
0.4400	0.4813	0.00077	-0.07882	0.04261	
0.4450	0.4093	0.00078	-0.07971	0.04235	
0.4500	0.3446	0.00077	-0.08010	0.04212	
0.4550	0.2873	0.00076	-0.07998	0.04185	
0.4600	0.2369	0.00079	-0.07945	0.04166	
0.4650	0.1917	0.00079	-0.07850	0.04149	
0.4700	0.1473	0.00077	-0.07704	0.04130	
0.4750	0.09813	0.00079	-0.07514	0.04111	
0.4800	0.03785	0.00080	-0.07290	0.04092	
0.4850	-0.04480	0.00077	-0.07025	0.04076	
0.4900	-0.1582	0.00076	-0.06717	0.04054	
