Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	1.230	-0.00015	0.04057	0.04277	
0.00500	1.242	-0.00016	0.03653	0.04288	
0.01000	1.256	-0.00016	0.03239	0.04300	
0.01500	1.273	-0.00018	0.02818	0.04310	
0.02000	1.288	-0.00019	0.02393	0.04321	
0.02500	1.301	-0.00016	0.01959	0.04331	
0.03000	1.310	-0.00016	0.01518	0.04343	
0.03500	1.320	-0.00017	0.01080	0.04357	
0.04000	1.330	-0.00016	0.00642	0.04370	
0.04500	1.342	-0.00016	0.00201	0.04384	
0.05000	1.354	-0.00018	-0.00233	0.04399	
0.05500	1.364	-0.00018	-0.00655	0.04412	
0.06000	1.370	-0.00017	-0.01075	0.04425	
0.06500	1.370	-0.00019	-0.01489	0.04440	
0.07000	1.362	-0.00020	-0.01892	0.04453	
0.07500	1.343	-0.00018	-0.02289	0.04465	
0.08000	1.313	-0.00020	-0.02677	0.04477	
0.08500	1.272	-0.00022	-0.03044	0.04487	
0.09000	1.224	-0.00021	-0.03399	0.04493	
0.09500	1.166	-0.00022	-0.03751	0.04497	
0.1000	1.100	-0.00024	-0.04089	0.04501	
0.1050	1.025	-0.00025	-0.04413	0.04501	
0.1100	0.9436	-0.00024	-0.04729	0.04502	
0.1150	0.8574	-0.00026	-0.05029	0.04498	
0.1200	0.7694	-0.00027	-0.05304	0.04495	
0.1250	0.6827	-0.00025	-0.05558	0.04490	
0.1300	0.5996	-0.00026	-0.05790	0.04487	
0.1350	0.5215	-0.00027	-0.05993	0.04482	
0.1400	0.4492	-0.00025	-0.06171	0.04477	
0.1450	0.3832	-0.00023	-0.06329	0.04471	
0.1500	0.3238	-0.00024	-0.06462	0.04465	
0.1550	0.2709	-0.00023	-0.06563	0.04456	
0.1600	0.2243	-0.00021	-0.06638	0.04445	
0.1650	0.1838	-0.00021	-0.06684	0.04434	
0.1700	0.1489	-0.00021	-0.06701	0.04417	
0.1750	0.1191	-0.00018	-0.06693	0.04405	
0.1800	0.09387	-0.00017	-0.06656	0.04387	
0.1850	0.07278	-0.00018	-0.06588	0.04373	
0.1900	0.05530	-0.00016	-0.06495	0.04360	
0.1950	0.04092	-0.00014	-0.06384	0.04344	
0.2000	0.02902	-0.00016	-0.06244	0.04330	
0.2050	0.01869	-0.00015	-0.06076	0.04311	
0.2100	0.00783	-0.00012	-0.05887	0.04289	
0.2150	-0.00692	-0.00014	-0.05678	0.04269	
0.2200	-0.02947	-0.00015	-0.05442	0.04249	
0.2250	-0.06510	-0.00014	-0.05189	0.04224	
0.2300	-0.1172	-0.00015	-0.04919	0.04202	
0.2350	-0.1864	-0.00018	-0.04625	0.04181	
0.2400	-0.2740	-0.00019	-0.04310	0.04162	
0.2450	-0.3784	-0.00020	-0.03978	0.04139	
0.2500	-0.4961	-0.00024	-0.03621	0.04114	
0.2550	-0.6261	-0.00026	-0.03241	0.04087	
0.2600	-0.7682	-0.00027	-0.02851	0.04057	
0.2650	-0.9209	-0.00030	-0.02449	0.04027	
0.2700	-1.079	-0.00033	-0.02027	0.03996	
0.2750	-1.231	-0.00033	-0.01590	0.03963	
0.2800	-1.369	-0.00035	-0.01141	0.03932	
0.2850	-1.485	-0.00037	-0.00676	0.03905	
0.2900	-1.577	-0.00036	-0.00200	0.03877	
0.2950	-1.644	-0.00035	0.00284	0.03857	
0.3000	-1.687	-0.00035	0.00785	0.03836	
0.3050	-1.711	-0.00033	0.01303	0.03820	
0.3100	-1.722	-0.00029	0.01827	0.03802	
0.3150	-1.723	-0.00028	0.02362	0.03788	
0.3200	-1.721	-0.00027	0.02915	0.03773	
0.3250	-1.717	-0.00023	0.03477	0.03761	
0.3300	-1.715	-0.00022	0.04047	0.03752	
0.3350	-1.713	-0.00021	0.04629	0.03745	
0.3400	-1.713	-0.00017	0.05219	0.03736	
0.3450	-1.712	-0.00015	0.05808	0.03727	
0.3500	-1.712	-0.00015	0.06400	0.03719	
0.3550	-1.712	-0.00014	0.06991	0.03709	
0.3600	-1.712	-0.00012	0.07573	0.03699	
0.3650	-1.714	-0.00014	0.08145	0.03685	
0.3700	-1.715	-0.00015	0.08714	0.03668	
0.3750	-1.713	-0.00013	0.09267	0.03648	
0.3800	-1.705	-0.00014	0.09799	0.03630	
