Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-1.052	-0.00247	-0.1622	0.00966	
0.00500	-0.9558	-0.00247	-0.1653	0.00976	
0.01000	-0.8575	-0.00246	-0.1683	0.00983	
0.01500	-0.7602	-0.00248	-0.1709	0.00989	
0.02000	-0.6666	-0.00249	-0.1733	0.00995	
0.02500	-0.5784	-0.00247	-0.1754	0.01000	
0.03000	-0.4969	-0.00247	-0.1772	0.01003	
0.03500	-0.4228	-0.00248	-0.1787	0.01005	
0.04000	-0.3562	-0.00246	-0.1798	0.01005	
0.04500	-0.2972	-0.00244	-0.1808	0.01003	
0.05000	-0.2454	-0.00245	-0.1815	0.01001	
0.05500	-0.2004	-0.00244	-0.1821	0.00999	
0.06000	-0.1618	-0.00241	-0.1824	0.00995	
0.06500	-0.1289	-0.00242	-0.1824	0.00989	
0.07000	-0.1011	-0.00241	-0.1820	0.00981	
0.07500	-0.07800	-0.00238	-0.1813	0.00972	
0.08000	-0.05882	-0.00237	-0.1803	0.00962	
0.08500	-0.04292	-0.00238	-0.1791	0.00950	
0.09000	-0.02929	-0.00235	-0.1775	0.00937	
0.09500	-0.01655	-0.00233	-0.1759	0.00924	
0.1000	-0.00209	-0.00234	-0.1739	0.00910	
0.1050	0.01923	-0.00234	-0.1717	0.00897	
0.1100	0.05352	-0.00232	-0.1694	0.00884	
0.1150	0.1030	-0.00233	-0.1668	0.00870	
0.1200	0.1702	-0.00235	-0.1640	0.00855	
0.1250	0.2585	-0.00234	-0.1611	0.00841	
0.1300	0.3672	-0.00236	-0.1580	0.00825	
0.1350	0.4923	-0.00240	-0.1548	0.00809	
0.1400	0.6278	-0.00241	-0.1514	0.00791	
0.1450	0.7659	-0.00243	-0.1480	0.00771	
0.1500	0.8994	-0.00247	-0.1445	0.00752	
0.1550	1.023	-0.00248	-0.1409	0.00732	
0.1600	1.129	-0.00247	-0.1372	0.00710	
0.1650	1.215	-0.00249	-0.1335	0.00688	
0.1700	1.278	-0.00250	-0.1297	0.00666	
0.1750	1.317	-0.00247	-0.1257	0.00645	
0.1800	1.333	-0.00246	-0.1218	0.00624	
0.1850	1.326	-0.00246	-0.1178	0.00604	
0.1900	1.302	-0.00242	-0.1138	0.00585	
0.1950	1.266	-0.00239	-0.1099	0.00569	
0.2000	1.221	-0.00239	-0.1059	0.00555	
0.2050	1.175	-0.00236	-0.1019	0.00541	
0.2100	1.137	-0.00233	-0.09802	0.00529	
0.2150	1.109	-0.00233	-0.09419	0.00517	
0.2200	1.096	-0.00233	-0.09036	0.00507	
0.2250	1.097	-0.00231	-0.08660	0.00498	
