Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-6.687	-0.00211	0.1003	0.00162	
0.00500	-6.833	-0.00211	0.07924	0.00198	
0.01000	-6.934	-0.00215	0.05806	0.00233	
0.01500	-6.989	-0.00215	0.03687	0.00270	
0.02000	-6.997	-0.00218	0.01574	0.00312	
0.02500	-6.955	-0.00223	-0.00508	0.00358	
0.03000	-6.858	-0.00227	-0.02551	0.00406	
0.03500	-6.702	-0.00231	-0.04555	0.00453	
0.04000	-6.492	-0.00238	-0.06504	0.00500	
0.04500	-6.234	-0.00245	-0.08384	0.00551	
0.05000	-5.940	-0.00249	-0.1019	0.00607	
0.05500	-5.619	-0.00256	-0.1192	0.00663	
0.06000	-5.279	-0.00264	-0.1356	0.00718	
0.06500	-4.926	-0.00268	-0.1510	0.00771	
0.07000	-4.565	-0.00272	-0.1658	0.00826	
0.07500	-4.203	-0.00277	-0.1797	0.00882	
0.08000	-3.844	-0.00280	-0.1927	0.00937	
0.08500	-3.494	-0.00281	-0.2051	0.00990	
0.09000	-3.158	-0.00284	-0.2166	0.01042	
0.09500	-2.838	-0.00285	-0.2274	0.01095	
0.1000	-2.538	-0.00283	-0.2373	0.01148	
0.1050	-2.263	-0.00283	-0.2465	0.01200	
0.1100	-2.018	-0.00283	-0.2550	0.01250	
0.1150	-1.808	-0.00280	-0.2628	0.01300	
0.1200	-1.636	-0.00277	-0.2702	0.01351	
0.1250	-1.508	-0.00276	-0.2770	0.01403	
0.1300	-1.425	-0.00273	-0.2835	0.01453	
0.1350	-1.386	-0.00268	-0.2897	0.01499	
0.1400	-1.386	-0.00265	-0.2956	0.01543	
0.1450	-1.414	-0.00262	-0.3014	0.01586	
0.1500	-1.457	-0.00256	-0.3072	0.01626	
0.1550	-1.503	-0.00252	-0.3129	0.01659	
0.1600	-1.544	-0.00250	-0.3186	0.01686	
0.1650	-1.578	-0.00246	-0.3242	0.01710	
