Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	0.000	-0.00250	-0.02035	0.00558	
0.00500	0.000	-0.00248	-0.02104	0.00565	
0.01000	-0.00013	-0.00248	-0.02179	0.00572	
0.01500	-0.00034	-0.00250	-0.02257	0.00579	
0.02000	-0.00084	-0.00249	-0.02339	0.00586	
0.02500	-0.00178	-0.00248	-0.02428	0.00592	
0.03000	-0.00314	-0.00250	-0.02515	0.00600	
0.03500	-0.00484	-0.00251	-0.02595	0.00607	
0.04000	-0.00678	-0.00249	-0.02674	0.00613	
0.04500	-0.00886	-0.00250	-0.02754	0.00620	
0.05000	-0.01103	-0.00251	-0.02828	0.00625	
0.05500	-0.01323	-0.00249	-0.02904	0.00630	
0.06000	-0.01537	-0.00249	-0.02982	0.00635	
0.06500	-0.01741	-0.00251	-0.03054	0.00639	
0.07000	-0.01937	-0.00250	-0.03119	0.00643	
0.07500	-0.02114	-0.00249	-0.03186	0.00647	
0.08000	-0.02257	-0.00251	-0.03252	0.00652	
0.08500	-0.02371	-0.00251	-0.03315	0.00656	
0.09000	-0.02473	-0.00249	-0.03386	0.00661	
0.09500	-0.02575	-0.00250	-0.03462	0.00665	
0.1000	-0.02685	-0.00251	-0.03535	0.00669	
0.1050	-0.02811	-0.00249	-0.03609	0.00673	
0.1100	-0.02967	-0.00249	-0.03686	0.00677	
0.1150	-0.03191	-0.00251	-0.03757	0.00679	
0.1200	-0.03542	-0.00250	-0.03819	0.00682	
0.1250	-0.04118	-0.00249	-0.03879	0.00684	
0.1300	-0.05072	-0.00251	-0.03934	0.00686	
0.1350	-0.06525	-0.00251	-0.03982	0.00688	
0.1400	-0.08561	-0.00249	-0.04033	0.00690	
0.1450	-0.1111	-0.00251	-0.04084	0.00692	
0.1500	-0.1376	-0.00252	-0.04129	0.00695	
0.1550	-0.1586	-0.00250	-0.04172	0.00697	
0.1600	-0.1706	-0.00249	-0.04217	0.00699	
0.1650	-0.1743	-0.00251	-0.04254	0.00702	
0.1700	-0.1716	-0.00250	-0.04286	0.00705	
0.1750	-0.1645	-0.00249	-0.04318	0.00707	
0.1800	-0.1542	-0.00251	-0.04346	0.00709	
0.1850	-0.1421	-0.00251	-0.04366	0.00710	
0.1900	-0.1290	-0.00248	-0.04385	0.00711	
0.1950	-0.1155	-0.00249	-0.04404	0.00712	
0.2000	-0.1022	-0.00250	-0.04414	0.00712	
