Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	0.7468	-0.00034	0.1940	0.03554	
0.00500	0.4828	-0.00033	0.1934	0.03577	
0.01000	0.1896	-0.00033	0.1918	0.03601	
0.01500	-0.1351	-0.00029	0.1893	0.03626	
0.02000	-0.4883	-0.00025	0.1859	0.03651	
0.02500	-0.8618	-0.00023	0.1815	0.03677	
0.03000	-1.244	-0.00019	0.1763	0.03703	
0.03500	-1.623	-0.00014	0.1703	0.03729	
0.04000	-1.987	-0.00011	0.1635	0.03754	
0.04500	-2.324	0.000	0.1560	0.03778	
0.05000	-2.625	0.000	0.1479	0.03800	
0.05500	-2.882	0.000	0.1390	0.03819	
0.06000	-3.092	0.000	0.1298	0.03834	
0.06500	-3.255	0.000	0.1201	0.03846	
0.07000	-3.374	0.000	0.1101	0.03859	
0.07500	-3.451	-0.00011	0.1000	0.03870	
0.08000	-3.487	-0.00015	0.08988	0.03878	
0.08500	-3.481	-0.00017	0.07980	0.03884	
0.09000	-3.433	-0.00023	0.06990	0.03888	
0.09500	-3.343	-0.00029	0.06033	0.03893	
0.1000	-3.213	-0.00033	0.05110	0.03897	
0.1050	-3.046	-0.00038	0.04229	0.03902	
0.1100	-2.850	-0.00045	0.03408	0.03907	
0.1150	-2.627	-0.00049	0.02654	0.03911	
0.1200	-2.384	-0.00053	0.01970	0.03914	
0.1250	-2.134	-0.00058	0.01367	0.03916	
0.1300	-1.885	-0.00061	0.00853	0.03917	
0.1350	-1.645	-0.00062	0.00424	0.03917	
0.1400	-1.415	-0.00065	0.00085	0.03917	
0.1450	-1.192	-0.00067	-0.00155	0.03916	
0.1500	-0.9702	-0.00066	-0.00309	0.03914	
0.1550	-0.7388	-0.00067	-0.00384	0.03912	
0.1600	-0.4923	-0.00069	-0.00370	0.03909	
0.1650	-0.2289	-0.00070	-0.00272	0.03907	
0.1700	0.04925	-0.00070	-0.00107	0.03904	
0.1750	0.3366	-0.00072	0.00125	0.03901	
0.1800	0.6251	-0.00072	0.00421	0.03894	
0.1850	0.9047	-0.00071	0.00768	0.03887	
0.1900	1.165	-0.00070	0.01158	0.03882	
0.1950	1.397	-0.00070	0.01591	0.03880	
0.2000	1.595	-0.00066	0.02051	0.03878	
0.2050	1.754	-0.00064	0.02524	0.03878	
0.2100	1.874	-0.00063	0.03010	0.03879	
0.2150	1.949	-0.00059	0.03499	0.03883	
0.2200	1.979	-0.00054	0.03977	0.03887	
0.2250	1.959	-0.00052	0.04445	0.03893	
0.2300	1.890	-0.00048	0.04891	0.03899	
0.2350	1.781	-0.00042	0.05297	0.03906	
0.2400	1.645	-0.00039	0.05656	0.03914	
0.2450	1.494	-0.00037	0.05968	0.03923	
0.2500	1.335	-0.00034	0.06224	0.03931	
0.2550	1.174	-0.00032	0.06421	0.03937	
0.2600	1.009	-0.00033	0.06562	0.03943	
0.2650	0.8341	-0.00031	0.06645	0.03950	
0.2700	0.6484	-0.00030	0.06662	0.03959	
0.2750	0.4464	-0.00031	0.06620	0.03967	
0.2800	0.2257	-0.00030	0.06520	0.03976	
0.2850	-0.01275	-0.00027	0.06356	0.03985	
0.2900	-0.2636	-0.00026	0.06136	0.03996	
0.2950	-0.5193	-0.00025	0.05873	0.04009	
0.3000	-0.7721	-0.00021	0.05562	0.04021	
0.3050	-1.014	-0.00019	0.05201	0.04034	
0.3100	-1.237	-0.00020	0.04803	0.04047	
0.3150	-1.433	-0.00019	0.04376	0.04061	
0.3200	-1.595	-0.00019	0.03915	0.04075	
0.3250	-1.718	-0.00022	0.03430	0.04086	
0.3300	-1.801	-0.00025	0.02929	0.04097	
0.3350	-1.845	-0.00026	0.02412	0.04109	
0.3400	-1.854	-0.00030	0.01890	0.04119	
0.3450	-1.833	-0.00035	0.01377	0.04126	
0.3500	-1.788	-0.00037	0.00876	0.04129	
0.3550	-1.720	-0.00040	0.00389	0.04129	
0.3600	-1.631	-0.00046	-0.00066	0.04127	
0.3650	-1.524	-0.00048	-0.00482	0.04123	
0.3700	-1.403	-0.00049	-0.00864	0.04115	
0.3750	-1.273	-0.00053	-0.01202	0.04101	
0.3800	-1.140	-0.00055	-0.01487	0.04085	
0.3850	-1.007	-0.00054	-0.01718	0.04066	
0.3900	-0.8794	-0.00055	-0.01888	0.04045	
0.3950	-0.7582	-0.00057	-0.01984	0.04022	
0.4000	-0.6433	-0.00055	-0.02006	0.03996	
0.4050	-0.5289	-0.00055	-0.01955	0.03971	
0.4100	-0.4017	-0.00057	-0.01825	0.03946	
0.4150	-0.2489	-0.00057	-0.01614	0.03921	
0.4200	-0.06056	-0.00056	-0.01330	0.03898	
0.4250	0.1684	-0.00059	-0.00973	0.03876	
0.4300	0.4382	-0.00061	-0.00541	0.03855	
0.4350	0.7447	-0.00061	-0.00045	0.03836	
0.4400	1.078	-0.00064	0.00510	0.03818	
0.4450	1.424	-0.00067	0.01127	0.03801	
0.4500	1.763	-0.00065	0.01796	0.03783	
0.4550	2.079	-0.00064	0.02505	0.03767	
0.4600	2.359	-0.00064	0.03255	0.03756	
0.4650	2.595	-0.00060	0.04034	0.03745	
0.4700	2.784	-0.00054	0.04824	0.03736	
0.4750	2.922	-0.00051	0.05622	0.03729	
0.4800	3.006	-0.00047	0.06427	0.03724	
0.4850	3.029	-0.00041	0.07220	0.03723	
0.4900	2.986	-0.00038	0.07990	0.03724	
0.4950	2.874	-0.00034	0.08730	0.03727	
0.5000	2.706	-0.00028	0.09424	0.03732	
0.5050	2.501	-0.00023	0.1006	0.03738	
0.5100	2.276	-0.00020	0.1062	0.03747	
0.5150	2.039	-0.00016	0.1112	0.03757	
0.5200	1.798	-0.00012	0.1153	0.03769	
0.5250	1.554	-0.00012	0.1187	0.03779	
0.5300	1.314	-0.00012	0.1214	0.03789	
0.5350	1.079	0.000	0.1232	0.03799	
0.5400	0.8416	-0.00010	0.1241	0.03808	
0.5450	0.5921	-0.00012	0.1243	0.03817	
0.5500	0.3254	-0.00010	0.1236	0.03828	
0.5550	0.04016	0.000	0.1220	0.03839	
0.5600	-0.2626	-0.00010	0.1197	0.03851	
0.5650	-0.5785	0.000	0.1166	0.03861	
0.5700	-0.8986	0.000	0.1127	0.03869	
0.5750	-1.211	0.000	0.1082	0.03876	
0.5800	-1.504	0.000	0.1031	0.03883	
0.5850	-1.768	0.000	0.09754	0.03889	
0.5900	-1.996	0.000	0.09152	0.03892	
0.5950	-2.187	0.000	0.08529	0.03894	
0.6000	-2.337	0.000	0.07890	0.03892	
0.6050	-2.445	0.000	0.07235	0.03890	
0.6100	-2.501	-0.00013	0.06582	0.03886	
0.6150	-2.494	-0.00016	0.05941	0.03878	
0.6200	-2.419	-0.00020	0.05322	0.03866	
0.6250	-2.289	-0.00026	0.04743	0.03853	
0.6300	-2.124	-0.00032	0.04223	0.03838	
0.6350	-1.937	-0.00035	0.03769	0.03821	
0.6400	-1.736	-0.00040	0.03391	0.03803	
0.6450	-1.524	-0.00045	0.03101	0.03785	
0.6500	-1.301	-0.00047	0.02893	0.03765	
0.6550	-1.061	-0.00049	0.02768	0.03747	
0.6600	-0.7982	-0.00053	0.02737	0.03728	
0.6650	-0.5090	-0.00055	0.02800	0.03706	
0.6700	-0.1912	-0.00056	0.02948	0.03684	
0.6750	0.1544	-0.00060	0.03190	0.03663	
0.6800	0.5235	-0.00063	0.03526	0.03643	
0.6850	0.9055	-0.00064	0.03948	0.03623	
0.6900	1.286	-0.00066	0.04450	0.03604	
0.6950	1.649	-0.00068	0.05035	0.03586	
0.7000	1.985	-0.00065	0.05689	0.03570	
0.7050	2.283	-0.00062	0.06400	0.03557	
0.7100	2.535	-0.00061	0.07167	0.03546	
0.7150	2.734	-0.00055	0.07979	0.03536	
0.7200	2.878	-0.00049	0.08818	0.03529	
0.7250	2.967	-0.00045	0.09679	0.03523	
0.7300	3.007	-0.00039	0.1056	0.03520	
0.7350	3.004	-0.00031	0.1143	0.03520	
0.7400	2.964	-0.00026	0.1229	0.03522	
0.7450	2.892	-0.00022	0.1312	0.03529	
0.7500	2.791	-0.00017	0.1391	0.03538	
0.7550	2.664	-0.00014	0.1464	0.03549	
0.7600	2.510	-0.00013	0.1533	0.03562	
0.7650	2.327	-0.00011	0.1595	0.03578	
0.7700	2.118	0.000	0.1648	0.03598	
0.7750	1.893	0.000	0.1693	0.03620	
0.7800	1.657	0.000	0.1730	0.03641	
0.7850	1.415	0.000	0.1756	0.03663	
0.7900	1.160	0.000	0.1771	0.03687	
0.7950	0.8815	0.000	0.1776	0.03713	
0.8000	0.5721	0.000	0.1768	0.03741	
0.8050	0.2279	0.000	0.1748	0.03769	
0.8100	-0.1510	0.000	0.1717	0.03795	
0.8150	-0.5613	0	0.1675	0.03821	
0.8200	-0.9974	0.000	0.1621	0.03847	
0.8250	-1.450	0.000	0.1556	0.03872	
0.8300	-1.907	0.000	0.1481	0.03898	
0.8350	-2.351	0.00014	0.1396	0.03922	
0.8400	-2.767	0.00015	0.1302	0.03943	
0.8450	-3.145	0.00015	0.1200	0.03962	
0.8500	-3.476	0.00016	0.1092	0.03977	
0.8550	-3.754	0.00015	0.09763	0.03991	
0.8600	-3.976	0.00010	0.08565	0.04003	
0.8650	-4.140	0.000	0.07335	0.04014	
0.8700	-4.250	0.000	0.06080	0.04023	
0.8750	-4.308	0.000	0.04822	0.04030	
0.8800	-4.312	0.000	0.03579	0.04035	
0.8850	-4.261	-0.00011	0.02354	0.04038	
0.8900	-4.150	-0.00018	0.01162	0.04040	
0.8950	-3.975	-0.00026	0.00023	0.04041	
0.9000	-3.738	-0.00032	-0.01052	0.04043	
0.9050	-3.453	-0.00038	-0.02053	0.04044	
0.9100	-3.139	-0.00046	-0.02963	0.04042	
0.9150	-2.811	-0.00050	-0.03770	0.04035	
0.9200	-2.480	-0.00053	-0.04473	0.04026	
0.9250	-2.150	-0.00058	-0.05061	0.04016	
0.9300	-1.817	-0.00061	-0.05519	0.04003	
0.9350	-1.484	-0.00061	-0.05853	0.03987	
0.9400	-1.144	-0.00062	-0.06062	0.03967	
0.9450	-0.7947	-0.00065	-0.06138	0.03948	
0.9500	-0.4314	-0.00064	-0.06089	0.03929	
0.9550	-0.05114	-0.00065	-0.05918	0.03912	
0.9600	0.3472	-0.00067	-0.05618	0.03895	
0.9650	0.7658	-0.00066	-0.05194	0.03880	
0.9700	1.205	-0.00063	-0.04658	0.03864	
0.9750	1.657	-0.00063	-0.04015	0.03849	
0.9800	2.108	-0.00062	-0.03268	0.03832	
0.9850	2.541	-0.00059	-0.02432	0.03817	
