Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	1.023	-0.00024	0.01592	0.03953	
0.00500	0.8662	-0.00028	0.01412	0.03942	
0.01000	0.7131	-0.00029	0.01302	0.03922	
0.01500	0.5605	-0.00028	0.01255	0.03907	
0.02000	0.4043	-0.00030	0.01273	0.03887	
0.02500	0.2370	-0.00032	0.01357	0.03870	
0.03000	0.05334	-0.00030	0.01501	0.03847	
0.03500	-0.1505	-0.00033	0.01706	0.03823	
0.04000	-0.3756	-0.00036	0.01977	0.03800	
0.04500	-0.6204	-0.00036	0.02305	0.03778	
0.05000	-0.8800	-0.00039	0.02687	0.03754	
0.05500	-1.145	-0.00042	0.03132	0.03728	
0.06000	-1.404	-0.00042	0.03632	0.03698	
0.06500	-1.645	-0.00042	0.04179	0.03670	
0.07000	-1.861	-0.00043	0.04776	0.03646	
0.07500	-2.046	-0.00043	0.05421	0.03622	
0.08000	-2.198	-0.00040	0.06103	0.03601	
0.08500	-2.318	-0.00039	0.06816	0.03579	
0.09000	-2.405	-0.00038	0.07562	0.03564	
0.09500	-2.460	-0.00034	0.08332	0.03553	
0.1000	-2.484	-0.00032	0.09117	0.03547	
0.1050	-2.484	-0.00030	0.09923	0.03539	
0.1100	-2.470	-0.00026	0.1074	0.03535	
0.1150	-2.453	-0.00021	0.1156	0.03529	
0.1200	-2.442	-0.00020	0.1238	0.03522	
0.1250	-2.444	-0.00017	0.1320	0.03512	
0.1300	-2.457	-0.00014	0.1399	0.03499	
0.1350	-2.476	-0.00014	0.1478	0.03491	
0.1400	-2.489	-0.00014	0.1554	0.03482	
0.1450	-2.490	-0.00012	0.1628	0.03471	
0.1500	-2.472	-0.00011	0.1699	0.03453	
0.1550	-2.429	-0.00012	0.1766	0.03442	
0.1600	-2.358	-0.00011	0.1829	0.03432	
0.1650	-2.254	0.000	0.1889	0.03429	
0.1700	-2.117	0.000	0.1943	0.03424	
0.1750	-1.951	0.000	0.1994	0.03418	
0.1800	-1.766	0.000	0.2038	0.03415	
0.1850	-1.571	0.000	0.2078	0.03403	
0.1900	-1.374	0.000	0.2112	0.03400	
0.1950	-1.184	0.000	0.2140	0.03399	
0.2000	-1.005	0.000	0.2162	0.03400	
0.2050	-0.8428	0.000	0.2179	0.03401	
0.2100	-0.6969	0.000	0.2190	0.03405	
0.2150	-0.5658	0.000	0.2196	0.03402	
0.2200	-0.4457	0.000	0.2196	0.03403	
0.2250	-0.3314	0.000	0.2192	0.03405	
0.2300	-0.2151	0.000	0.2183	0.03405	
0.2350	-0.09129	0.000	0.2170	0.03408	
0.2400	0.04135	0.000	0.2153	0.03408	
0.2450	0.1836	0.000	0.2134	0.03414	
0.2500	0.3340	0.000	0.2113	0.03419	
0.2550	0.4876	0.000	0.2089	0.03428	
0.2600	0.6372	0.000	0.2065	0.03433	
0.2650	0.7764	0.000	0.2040	0.03446	
0.2700	0.8999	0.000	0.2014	0.03454	
0.2750	1.003	0	0.1988	0.03465	
0.2800	1.083	0.000	0.1963	0.03470	
0.2850	1.136	0.000	0.1937	0.03479	
0.2900	1.158	0.000	0.1913	0.03483	
0.2950	1.147	0.000	0.1889	0.03487	
0.3000	1.107	0.000	0.1866	0.03487	
0.3050	1.044	-0.00014	0.1844	0.03486	
0.3100	0.9668	-0.00016	0.1824	0.03483	
0.3150	0.8813	-0.00017	0.1806	0.03475	
0.3200	0.7923	-0.00021	0.1790	0.03475	
0.3250	0.7036	-0.00022	0.1777	0.03470	
0.3300	0.6173	-0.00020	0.1767	0.03471	
0.3350	0.5346	-0.00021	0.1759	0.03470	
0.3400	0.4564	-0.00023	0.1755	0.03472	
0.3450	0.3828	-0.00021	0.1753	0.03468	
0.3500	0.3140	-0.00021	0.1754	0.03474	
0.3550	0.2497	-0.00023	0.1758	0.03479	
0.3600	0.1873	-0.00022	0.1764	0.03484	
0.3650	0.1219	-0.00021	0.1772	0.03486	
0.3700	0.05031	-0.00023	0.1781	0.03489	
0.3750	-0.02493	-0.00024	0.1792	0.03492	
0.3800	-0.1018	-0.00023	0.1803	0.03497	
0.3850	-0.1780	-0.00026	0.1814	0.03505	
0.3900	-0.2459	-0.00028	0.1826	0.03515	
0.3950	-0.2987	-0.00027	0.1837	0.03528	
0.4000	-0.3337	-0.00028	0.1847	0.03541	
0.4050	-0.3507	-0.00029	0.1855	0.03559	
0.4100	-0.3524	-0.00028	0.1863	0.03583	
0.4150	-0.3427	-0.00026	0.1869	0.03612	
0.4200	-0.3249	-0.00027	0.1872	0.03643	
0.4250	-0.3010	-0.00026	0.1874	0.03684	
0.4300	-0.2716	-0.00022	0.1872	0.03712	
0.4350	-0.2366	-0.00022	0.1867	0.03741	
0.4400	-0.1930	-0.00022	0.1857	0.03766	
0.4450	-0.1322	-0.00019	0.1843	0.03795	
0.4500	-0.04692	-0.00017	0.1824	0.03833	
0.4550	0.06986	-0.00017	0.1799	0.03859	
0.4600	0.2218	-0.00014	0.1768	0.03887	
0.4650	0.4108	-0.00011	0.1732	0.03916	
0.4700	0.6356	0.000	0.1689	0.03948	
0.4750	0.8911	0.000	0.1641	0.03978	
0.4800	1.171	0.000	0.1587	0.04012	
0.4850	1.467	0.000	0.1527	0.04044	
0.4900	1.769	0.000	0.1460	0.04080	
0.4950	2.063	0.00010	0.1388	0.04105	
0.5000	2.339	0.00012	0.1309	0.04135	
0.5050	2.588	0.00011	0.1224	0.04161	
0.5100	2.807	0.00012	0.1135	0.04187	
0.5150	2.994	0.00012	0.1040	0.04214	
0.5200	3.151	0.000	0.09409	0.04241	
0.5250	3.278	0.000	0.08379	0.04262	
0.5300	3.376	0.000	0.07310	0.04283	
0.5350	3.450	0.000	0.06210	0.04306	
