Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-0.1582	0.000	0.1903	0.03562	
0.00500	-0.3460	0.000	0.1863	0.03587	
0.01000	-0.5698	0.000	0.1816	0.03613	
0.01500	-0.8253	0.000	0.1762	0.03638	
0.02000	-1.105	0.000	0.1704	0.03665	
0.02500	-1.399	0.00013	0.1640	0.03693	
0.03000	-1.696	0.00018	0.1571	0.03721	
0.03500	-1.984	0.00019	0.1497	0.03749	
0.04000	-2.248	0.00021	0.1419	0.03778	
0.04500	-2.479	0.00023	0.1337	0.03808	
0.05000	-2.672	0.00022	0.1251	0.03839	
0.05500	-2.825	0.00020	0.1163	0.03869	
0.06000	-2.938	0.00020	0.1072	0.03899	
0.06500	-3.014	0.00017	0.09786	0.03928	
0.07000	-3.056	0.00012	0.08842	0.03957	
0.07500	-3.068	0.000	0.07888	0.03986	
0.08000	-3.052	0.000	0.06920	0.04011	
0.08500	-3.011	0.000	0.05951	0.04036	
0.09000	-2.952	0.000	0.04991	0.04059	
0.09500	-2.879	0.000	0.04041	0.04081	
0.1000	-2.799	-0.00010	0.03114	0.04098	
0.1050	-2.715	-0.00014	0.02217	0.04113	
0.1100	-2.630	-0.00014	0.01349	0.04127	
0.1150	-2.543	-0.00016	0.00512	0.04140	
0.1200	-2.454	-0.00019	-0.00281	0.04153	
0.1250	-2.362	-0.00019	-0.01035	0.04165	
0.1300	-2.263	-0.00018	-0.01753	0.04173	
0.1350	-2.156	-0.00021	-0.02427	0.04180	
0.1400	-2.037	-0.00023	-0.03050	0.04187	
0.1450	-1.904	-0.00022	-0.03624	0.04193	
0.1500	-1.759	-0.00024	-0.04144	0.04197	
0.1550	-1.606	-0.00027	-0.04600	0.04197	
0.1600	-1.447	-0.00027	-0.04993	0.04194	
0.1650	-1.289	-0.00027	-0.05317	0.04190	
0.1700	-1.134	-0.00030	-0.05559	0.04185	
0.1750	-0.9864	-0.00029	-0.05724	0.04178	
0.1800	-0.8457	-0.00027	-0.05823	0.04169	
0.1850	-0.7109	-0.00028	-0.05851	0.04161	
0.1900	-0.5772	-0.00028	-0.05805	0.04153	
0.1950	-0.4350	-0.00026	-0.05700	0.04146	
0.2000	-0.2777	-0.00027	-0.05540	0.04140	
0.2050	-0.1008	-0.00029	-0.05320	0.04133	
0.2100	0.09619	-0.00028	-0.05051	0.04126	
0.2150	0.3078	-0.00029	-0.04741	0.04122	
0.2200	0.5258	-0.00033	-0.04385	0.04118	
0.2250	0.7437	-0.00033	-0.03991	0.04113	
0.2300	0.9549	-0.00033	-0.03576	0.04108	
0.2350	1.151	-0.00035	-0.03145	0.04104	
0.2400	1.322	-0.00034	-0.02702	0.04100	
