Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-1.562	0.00046	0.2443	0.03366	
0.00500	-1.128	0.00047	0.2462	0.03335	
0.01000	-0.6737	0.00051	0.2466	0.03357	
0.01500	-0.1958	0.00051	0.2456	0.03450	
0.02000	0.3042	0.00051	0.2432	0.03539	
0.02500	0.8204	0.00054	0.2395	0.03597	
0.03000	1.344	0.00057	0.2343	0.03687	
0.03500	1.865	0.00056	0.2278	0.03723	
0.04000	2.374	0.00056	0.2198	0.03721	
0.04500	2.861	0.00057	0.2105	0.03779	
0.05000	3.320	0.00054	0.1999	0.03843	
0.05500	3.748	0.00052	0.1881	0.03894	
0.06000	4.143	0.00052	0.1751	0.03886	
0.06500	4.506	0.00049	0.1609	0.03946	
0.07000	4.841	0.00044	0.1456	0.03879	
0.07500	5.147	0.00042	0.1294	0.03887	
0.08000	5.425	0.00040	0.1122	0.03903	
0.08500	5.677	0.00035	0.09416	0.03941	
0.09000	5.900	0.00033	0.07550	0.03945	
0.09500	6.094	0.00032	0.05625	0.03954	
0.1000	6.255	0.00028	0.03654	0.04013	
0.1050	6.380	0.00024	0.01655	0.03956	
0.1100	6.466	0.00023	-0.00364	0.03948	
0.1150	6.512	0.00019	-0.02393	0.04051	
0.1200	6.517	0.00014	-0.04410	0.04186	
0.1250	6.482	0.00011	-0.06402	0.04166	
0.1300	6.406	0.000	-0.08354	0.04189	
0.1350	6.287	0.000	-0.1025	0.04125	
0.1400	6.118	0.000	-0.1207	0.04201	
0.1450	5.889	0.000	-0.1382	0.04230	
0.1500	5.591	-0.00012	-0.1548	0.04317	
0.1550	5.223	-0.00017	-0.1704	0.04304	
0.1600	4.799	-0.00020	-0.1849	0.04222	
0.1650	4.344	-0.00024	-0.1981	0.04327	
0.1700	3.880	-0.00030	-0.2100	0.04341	
0.1750	3.426	-0.00032	-0.2204	0.04355	
0.1800	2.991	-0.00035	-0.2295	0.04320	
0.1850	2.580	-0.00039	-0.2372	0.04256	
0.1900	2.196	-0.00040	-0.2435	0.04289	
0.1950	1.835	-0.00040	-0.2484	0.04283	
0.2000	1.491	-0.00042	-0.2520	0.04300	
0.2050	1.148	-0.00043	-0.2542	0.04193	
0.2100	0.7958	-0.00041	-0.2552	0.04148	
0.2150	0.4221	-0.00040	-0.2549	0.04122	
0.2200	0.01989	-0.00042	-0.2534	0.04151	
0.2250	-0.4119	-0.00041	-0.2507	0.04037	
0.2300	-0.8655	-0.00040	-0.2469	0.04035	
0.2350	-1.327	-0.00041	-0.2419	0.03922	
0.2400	-1.779	-0.00039	-0.2359	0.03868	
0.2450	-2.207	-0.00035	-0.2289	0.03878	
0.2500	-2.596	-0.00034	-0.2210	0.03924	
0.2550	-2.937	-0.00030	-0.2120	0.03861	
0.2600	-3.229	-0.00023	-0.2022	0.03857	
0.2650	-3.473	-0.00018	-0.1916	0.03849	
0.2700	-3.674	-0.00014	-0.1803	0.03897	
0.2750	-3.837	0.000	-0.1683	0.03883	
0.2800	-3.970	0.000	-0.1558	0.03892	
0.2850	-4.082	0.000	-0.1427	0.03917	
0.2900	-4.179	0	-0.1294	0.03877	
0.2950	-4.265	0.000	-0.1158	0.03867	
0.3000	-4.335	0.000	-0.1020	0.03815	
0.3050	-4.383	0.000	-0.08811	0.03836	
0.3100	-4.407	0.00011	-0.07431	0.03748	
0.3150	-4.405	0.00014	-0.06074	0.03858	
0.3200	-4.376	0.00014	-0.04743	0.03796	
0.3250	-4.318	0.00017	-0.03451	0.03782	
0.3300	-4.228	0.00019	-0.02214	0.03691	
0.3350	-4.100	0.00018	-0.01034	0.03695	
0.3400	-3.926	0.00019	0.00081	0.03779	
0.3450	-3.697	0.00021	0.01114	0.03745	
0.3500	-3.416	0.00021	0.02062	0.03725	
0.3550	-3.099	0.00022	0.02920	0.03718	
0.3600	-2.766	0.00026	0.03674	0.03721	
0.3650	-2.434	0.00028	0.04322	0.03800	
0.3700	-2.113	0.00028	0.04870	0.03864	
