Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-1.704	0.000	-0.1039	0.04598	
0.00500	-1.590	-0.00011	-0.1083	0.04613	
0.01000	-1.461	-0.00014	-0.1123	0.04626	
0.01500	-1.323	-0.00014	-0.1159	0.04637	
0.02000	-1.182	-0.00016	-0.1193	0.04645	
0.02500	-1.044	-0.00019	-0.1222	0.04651	
0.03000	-0.9128	-0.00018	-0.1247	0.04654	
0.03500	-0.7896	-0.00017	-0.1269	0.04654	
0.04000	-0.6763	-0.00019	-0.1288	0.04650	
0.04500	-0.5737	-0.00018	-0.1302	0.04644	
0.05000	-0.4819	-0.00015	-0.1314	0.04635	
0.05500	-0.4008	-0.00016	-0.1322	0.04623	
0.06000	-0.3298	-0.00015	-0.1326	0.04609	
0.06500	-0.2678	-0.00011	-0.1327	0.04593	
0.07000	-0.2129	-0.00010	-0.1325	0.04576	
0.07500	-0.1619	-0.00011	-0.1319	0.04558	
0.08000	-0.1113	0.000	-0.1309	0.04539	
0.08500	-0.05880	0.000	-0.1296	0.04520	
0.09000	-0.00217	0.000	-0.1279	0.04500	
0.09500	0.06172	0.000	-0.1258	0.04481	
0.1000	0.1408	0.000	-0.1234	0.04461	
0.1050	0.2391	0.000	-0.1207	0.04441	
0.1100	0.3583	0.000	-0.1175	0.04420	
0.1150	0.4966	0.000	-0.1142	0.04399	
0.1200	0.6492	-0.00010	-0.1106	0.04376	
0.1250	0.8106	-0.00014	-0.1067	0.04352	
0.1300	0.9753	-0.00014	-0.1026	0.04327	
0.1350	1.137	-0.00014	-0.09831	0.04301	
0.1400	1.288	-0.00017	-0.09383	0.04274	
0.1450	1.421	-0.00017	-0.08919	0.04247	
0.1500	1.530	-0.00014	-0.08450	0.04221	
0.1550	1.611	-0.00014	-0.07970	0.04194	
0.1600	1.664	-0.00013	-0.07481	0.04168	
0.1650	1.690	0.000	-0.06992	0.04144	
0.1700	1.691	0.000	-0.06505	0.04121	
0.1750	1.672	0.000	-0.06012	0.04099	
0.1800	1.637	0.000	-0.05517	0.04079	
0.1850	1.593	0.000	-0.05026	0.04061	
0.1900	1.549	0.000	-0.04526	0.04044	
0.1950	1.511	0.000	-0.04021	0.04029	
0.2000	1.487	0.000	-0.03524	0.04015	
0.2050	1.478	0.000	-0.03039	0.04001	
0.2100	1.481	0.000	-0.02560	0.03987	
0.2150	1.489	0.000	-0.02098	0.03974	
0.2200	1.493	0.000	-0.01651	0.03960	
0.2250	1.484	0.000	-0.01210	0.03946	
0.2300	1.460	0.000	-0.00782	0.03932	
0.2350	1.419	0.000	-0.00373	0.03918	
0.2400	1.357	0.000	0.00019	0.03905	
0.2450	1.276	0.000	0.00391	0.03894	
0.2500	1.182	0	0.00737	0.03883	
0.2550	1.079	0.000	0.01060	0.03873	
0.2600	0.9721	0	0.01361	0.03865	
0.2650	0.8653	0.000	0.01631	0.03857	
0.2700	0.7616	0.000	0.01869	0.03851	
0.2750	0.6633	0.000	0.02084	0.03846	
0.2800	0.5720	0.000	0.02271	0.03843	
0.2850	0.4884	0.000	0.02428	0.03842	
0.2900	0.4130	0.000	0.02562	0.03844	
0.2950	0.3458	0.000	0.02672	0.03848	
0.3000	0.2866	0.000	0.02749	0.03855	
0.3050	0.2351	0.000	0.02801	0.03864	
0.3100	0.1906	0.000	0.02839	0.03875	
0.3150	0.1526	0.000	0.02854	0.03887	
0.3200	0.1204	0.000	0.02842	0.03902	
0.3250	0.09351	0.000	0.02809	0.03917	
0.3300	0.07110	0.000	0.02745	0.03934	
0.3350	0.05215	0.000	0.02646	0.03952	
0.3400	0.03496	0.000	0.02524	0.03970	
0.3450	0.01763	0.000	0.02384	0.03988	
0.3500	-0.00236	0.000	0.02224	0.04003	
0.3550	-0.02944	0.000	0.02051	0.04017	
0.3600	-0.06725	0.000	0.01872	0.04030	
0.3650	-0.1143	0.000	0.01678	0.04043	
0.3700	-0.1689	0.000	0.01465	0.04055	
0.3750	-0.2318	0.000	0.01240	0.04067	
0.3800	-0.2985	0.000	0.01000	0.04080	
0.3850	-0.3664	0.000	0.00743	0.04093	
0.3900	-0.4348	0.000	0.00483	0.04106	
0.3950	-0.5000	0.000	0.00224	0.04119	
0.4000	-0.5621	0.00010	-0.00041	0.04132	
0.4050	-0.6183	0.000	-0.00305	0.04146	
0.4100	-0.6652	0.000	-0.00559	0.04160	
0.4150	-0.7027	0.000	-0.00808	0.04173	
0.4200	-0.7279	0.000	-0.01051	0.04186	
0.4250	-0.7374	0.000	-0.01280	0.04198	
0.4300	-0.7305	0.000	-0.01498	0.04210	
0.4350	-0.7076	0.000	-0.01708	0.04221	
0.4400	-0.6708	0.000	-0.01901	0.04230	
0.4450	-0.6237	0.000	-0.02074	0.04238	
0.4500	-0.5706	0.000	-0.02232	0.04245	
0.4550	-0.5146	0.000	-0.02370	0.04250	
0.4600	-0.4584	0.000	-0.02484	0.04253	
0.4650	-0.4037	0.000	-0.02581	0.04254	
0.4700	-0.3518	0.000	-0.02666	0.04252	
0.4750	-0.3035	-0.00011	-0.02735	0.04249	
0.4800	-0.2592	0.000	-0.02791	0.04245	
0.4850	-0.2193	0.000	-0.02836	0.04237	
0.4900	-0.1837	-0.00010	-0.02858	0.04225	
0.4950	-0.1523	0.000	-0.02854	0.04210	
0.5000	-0.1249	0.000	-0.02831	0.04192	
0.5050	-0.1012	0.000	-0.02780	0.04173	
0.5100	-0.08048	0.000	-0.02696	0.04152	
0.5150	-0.06164	0.000	-0.02584	0.04131	
0.5200	-0.04318	0.000	-0.02440	0.04108	
0.5250	-0.02315	0.000	-0.02259	0.04085	
0.5300	0.00297	0.000	-0.02048	0.04062	
0.5350	0.04453	0.000	-0.01819	0.04040	
0.5400	0.1090	0.000	-0.01566	0.04017	
0.5450	0.2013	0.000	-0.01290	0.03993	
0.5500	0.3220	0.000	-0.00996	0.03968	
0.5550	0.4662	0.000	-0.00678	0.03942	
0.5600	0.6240	0.000	-0.00336	0.03915	
0.5650	0.7848	0.000	0.00018	0.03886	
0.5700	0.9398	0.000	0.00384	0.03857	
0.5750	1.083	0.000	0.00771	0.03827	
0.5800	1.209	0.000	0.01176	0.03797	
0.5850	1.314	0.000	0.01592	0.03768	
0.5900	1.398	0.000	0.02028	0.03740	
0.5950	1.461	0.000	0.02482	0.03712	
0.6000	1.505	0.000	0.02948	0.03685	
0.6050	1.535	0.000	0.03432	0.03661	
0.6100	1.552	0.000	0.03940	0.03638	
0.6150	1.561	0.000	0.04462	0.03617	
0.6200	1.564	0.000	0.04996	0.03598	
0.6250	1.565	0.000	0.05549	0.03581	
0.6300	1.567	0.000	0.06114	0.03566	
0.6350	1.572	0.000	0.06681	0.03552	
0.6400	1.584	0.000	0.07255	0.03540	
0.6450	1.605	0.000	0.07833	0.03529	
0.6500	1.636	0.000	0.08407	0.03517	
0.6550	1.677	0.000	0.08976	0.03505	
0.6600	1.722	0.000	0.09540	0.03491	
0.6650	1.764	0.000	0.1009	0.03477	
0.6700	1.795	0.000	0.1062	0.03462	
0.6750	1.807	0.000	0.1115	0.03448	
0.6800	1.796	0.000	0.1166	0.03434	
0.6850	1.756	0.000	0.1214	0.03419	
0.6900	1.688	0.000	0.1261	0.03404	
0.6950	1.597	0.000	0.1305	0.03391	
0.7000	1.489	0.000	0.1347	0.03380	
0.7050	1.367	0.000	0.1386	0.03370	
0.7100	1.238	0.000	0.1423	0.03361	
0.7150	1.106	0.00012	0.1457	0.03354	
0.7200	0.9771	0.00013	0.1487	0.03349	
0.7250	0.8538	0.00012	0.1514	0.03347	
0.7300	0.7386	0.00013	0.1538	0.03347	
0.7350	0.6326	0.00013	0.1558	0.03350	
0.7400	0.5365	0.00010	0.1575	0.03355	
0.7450	0.4506	0.000	0.1588	0.03365	
0.7500	0.3747	0.00011	0.1598	0.03379	
0.7550	0.3083	0.000	0.1604	0.03396	
0.7600	0.2509	0.000	0.1606	0.03415	
0.7650	0.2015	0.000	0.1605	0.03437	
0.7700	0.1593	0.000	0.1600	0.03462	
0.7750	0.1226	0.000	0.1591	0.03489	
0.7800	0.08920	0.000	0.1578	0.03512	
0.7850	0.05524	0.000	0.1560	0.03534	
0.7900	0.01608	0.000	0.1540	0.03557	
0.7950	-0.03495	0.000	0.1516	0.03580	
0.8000	-0.1086	0.000	0.1488	0.03602	
0.8050	-0.2129	0.000	0.1457	0.03627	
0.8100	-0.3529	0.000	0.1424	0.03652	
0.8150	-0.5275	0.00010	0.1387	0.03679	
0.8200	-0.7298	0.00012	0.1346	0.03708	
0.8250	-0.9496	0.00012	0.1303	0.03739	
0.8300	-1.174	0.00016	0.1257	0.03770	
0.8350	-1.389	0.00019	0.1207	0.03803	
0.8400	-1.584	0.00019	0.1155	0.03836	
0.8450	-1.751	0.00020	0.1100	0.03871	
0.8500	-1.888	0.00022	0.1043	0.03905	
0.8550	-1.993	0.00020	0.09833	0.03939	
0.8600	-2.066	0.00017	0.09218	0.03972	
0.8650	-2.111	0.00017	0.08584	0.04004	
0.8700	-2.131	0.00013	0.07931	0.04034	
0.8750	-2.133	0.000	0.07267	0.04062	
0.8800	-2.122	0.000	0.06590	0.04088	
0.8850	-2.107	0.000	0.05899	0.04112	
0.8900	-2.095	0.000	0.05201	0.04133	
0.8950	-2.088	0.000	0.04496	0.04152	
0.9000	-2.087	0.000	0.03779	0.04170	
0.9050	-2.093	0.000	0.03058	0.04186	
0.9100	-2.107	0.000	0.02343	0.04203	
0.9150	-2.125	0.000	0.01634	0.04219	
0.9200	-2.144	0.000	0.00932	0.04236	
0.9250	-2.159	0.000	0.00249	0.04253	
0.9300	-2.165	0.000	-0.00416	0.04269	
0.9350	-2.156	0.000	-0.01066	0.04285	
0.9400	-2.130	0.000	-0.01693	0.04301	
0.9450	-2.083	0.000	-0.02298	0.04316	
0.9500	-2.016	0.000	-0.02885	0.04330	
0.9550	-1.929	0.000	-0.03449	0.04343	
0.9600	-1.820	0.000	-0.03982	0.04355	
0.9650	-1.695	0.000	-0.04488	0.04367	
0.9700	-1.560	-0.00012	-0.04967	0.04377	
0.9750	-1.420	-0.00016	-0.05408	0.04385	
0.9800	-1.280	-0.00017	-0.05813	0.04390	
0.9850	-1.142	-0.00017	-0.06182	0.04392	
0.9900	-1.007	-0.00020	-0.06504	0.04393	
0.9950	-0.8792	-0.00020	-0.06782	0.04390	
1.000	-0.7597	-0.00018	-0.07019	0.04384	
1.005	-0.6499	-0.00019	-0.07210	0.04374	
1.010	-0.5506	-0.00019	-0.07345	0.04362	
1.015	-0.4618	-0.00016	-0.07431	0.04347	
1.020	-0.3828	-0.00015	-0.07467	0.04330	
1.025	-0.3120	-0.00016	-0.07442	0.04312	
1.030	-0.2468	-0.00014	-0.07361	0.04292	
1.035	-0.1839	-0.00012	-0.07237	0.04271	
1.040	-0.1194	-0.00014	-0.07064	0.04251	
1.045	-0.04446	-0.00013	-0.06843	0.04230	
1.050	0.05223	-0.00012	-0.06587	0.04208	
1.055	0.1773	-0.00014	-0.06295	0.04186	
1.060	0.3331	-0.00017	-0.05963	0.04163	
1.065	0.5169	-0.00017	-0.05599	0.04138	
1.070	0.7203	-0.00020	-0.05203	0.04112	
1.075	0.9333	-0.00024	-0.04764	0.04084	
1.080	1.148	-0.00024	-0.04291	0.04055	
1.085	1.359	-0.00024	-0.03797	0.04025	
1.090	1.557	-0.00026	-0.03273	0.03993	
1.095	1.732	-0.00025	-0.02719	0.03960	
1.100	1.878	-0.00022	-0.02148	0.03926	
1.105	1.992	-0.00022	-0.01558	0.03894	
1.110	2.076	-0.00021	-0.00943	0.03862	
1.115	2.130	-0.00016	-0.00314	0.03831	
1.120	2.160	-0.00014	0.00328	0.03801	
1.125	2.171	-0.00013	0.00988	0.03774	
1.130	2.168	0.000	0.01662	0.03748	
1.135	2.157	0.000	0.02345	0.03724	
1.140	2.139	0.000	0.03041	0.03702	
1.145	2.118	0.000	0.03748	0.03682	
1.150	2.095	0.000	0.04454	0.03664	
1.155	2.070	0.000	0.05161	0.03647	
1.160	2.046	0.000	0.05868	0.03632	
1.165	2.026	0.000	0.06565	0.03617	
1.170	2.009	0.000	0.07246	0.03603	
1.175	1.996	0.000	0.07919	0.03587	
1.180	1.986	0.000	0.08576	0.03571	
1.185	1.976	0.000	0.09204	0.03554	
1.190	1.958	0.000	0.09811	0.03538	
1.195	1.928	0.000	0.1039	0.03520	
1.200	1.881	0.000	0.1095	0.03502	
1.205	1.814	0.000	0.1147	0.03485	
1.210	1.730	0	0.1197	0.03469	
1.215	1.626	0.000	0.1243	0.03454	
1.220	1.503	0.000	0.1286	0.03441	
1.225	1.368	0.000	0.1325	0.03429	
1.230	1.228	0.000	0.1362	0.03418	
1.235	1.090	0.000	0.1394	0.03410	
1.240	0.9561	0.000	0.1423	0.03405	
1.245	0.8300	0.000	0.1449	0.03402	
1.250	0.7134	0.000	0.1470	0.03403	
1.255	0.6072	0.000	0.1487	0.03408	
1.260	0.5115	0.000	0.1500	0.03417	
1.265	0.4259	0.000	0.1511	0.03430	
1.270	0.3497	0.000	0.1516	0.03446	
1.275	0.2818	0.000	0.1519	0.03464	
1.280	0.2214	0.000	0.1517	0.03485	
1.285	0.1674	0.000	0.1511	0.03507	
1.290	0.1192	0.000	0.1501	0.03527	
1.295	0.07563	0.000	0.1488	0.03547	
1.300	0.03477	0.000	0.1471	0.03566	
1.305	-0.00677	0.000	0.1451	0.03586	
1.310	-0.05698	0.000	0.1428	0.03605	
1.315	-0.1298	0.000	0.1402	0.03623	
1.320	-0.2344	0.000	0.1372	0.03642	
1.325	-0.3721	0.000	0.1341	0.03661	
1.330	-0.5375	0.000	0.1308	0.03680	
1.335	-0.7209	0.000	0.1272	0.03701	
1.340	-0.9099	0.000	0.1233	0.03722	
1.345	-1.092	0.000	0.1194	0.03744	
1.350	-1.257	0.00011	0.1153	0.03766	
1.355	-1.395	0.000	0.1110	0.03789	
1.360	-1.502	0.000	0.1067	0.03812	
1.365	-1.577	0.000	0.1022	0.03835	
1.370	-1.621	0.000	0.09772	0.03857	
1.375	-1.635	0.000	0.09323	0.03877	
1.380	-1.622	0.000	0.08876	0.03897	
1.385	-1.586	0.000	0.08427	0.03915	
1.390	-1.528	0.000	0.07985	0.03934	
1.395	-1.451	0.000	0.07551	0.03951	
1.400	-1.360	0.000	0.07116	0.03966	
1.405	-1.264	-0.00011	0.06691	0.03980	
1.410	-1.168	-0.00014	0.06289	0.03993	
1.415	-1.075	-0.00014	0.05903	0.04001	
1.420	-0.9813	-0.00016	0.05537	0.04006	
1.425	-0.8855	-0.00018	0.05202	0.04009	
1.430	-0.7895	-0.00017	0.04897	0.04012	
1.435	-0.6960	-0.00016	0.04614	0.04014	
1.440	-0.6072	-0.00018	0.04365	0.04015	
1.445	-0.5243	-0.00017	0.04150	0.04015	
1.450	-0.4483	-0.00015	0.03960	0.04014	
1.455	-0.3796	-0.00015	0.03797	0.04012	
1.460	-0.3183	-0.00015	0.03669	0.04009	
1.465	-0.2641	-0.00013	0.03572	0.04004	
1.470	-0.2160	-0.00012	0.03502	0.03995	
1.475	-0.1729	-0.00014	0.03460	0.03984	
1.480	-0.1341	-0.00011	0.03438	0.03973	
1.485	-0.09873	0.000	0.03434	0.03961	
1.490	-0.06603	-0.00011	0.03460	0.03949	
1.495	-0.03671	-0.00010	0.03522	0.03934	
1.500	-0.01216	0.000	0.03612	0.03916	
1.505	0.00765	0.000	0.03735	0.03898	
1.510	0.02506	-0.00010	0.03896	0.03878	
1.515	0.04278	0.000	0.04084	0.03859	
1.520	0.06371	0.000	0.04299	0.03838	
1.525	0.09254	0.000	0.04546	0.03817	
1.530	0.1381	0.000	0.04824	0.03796	
1.535	0.2066	0.000	0.05124	0.03774	
1.540	0.2983	-0.00011	0.05451	0.03752	
1.545	0.4106	-0.00012	0.05804	0.03730	
1.550	0.5379	-0.00011	0.06172	0.03707	
1.555	0.6728	-0.00015	0.06557	0.03685	
1.560	0.8073	-0.00016	0.06962	0.03661	
1.565	0.9350	-0.00015	0.07376	0.03636	
1.570	1.051	-0.00016	0.07796	0.03611	
1.575	1.152	-0.00018	0.08227	0.03587	
1.580	1.237	-0.00016	0.08664	0.03563	
1.585	1.306	-0.00014	0.09102	0.03540	
1.590	1.360	-0.00014	0.09547	0.03516	
1.595	1.399	-0.00012	0.09995	0.03494	
1.600	1.422	0.000	0.1044	0.03473	
1.605	1.430	0.000	0.1087	0.03453	
1.610	1.419	0.000	0.1131	0.03434	
1.615	1.391	0.000	0.1175	0.03418	
1.620	1.346	0.000	0.1217	0.03403	
1.625	1.284	0.000	0.1258	0.03391	
1.630	1.209	0.000	0.1299	0.03380	
1.635	1.127	0.000	0.1337	0.03371	
1.640	1.043	0.000	0.1374	0.03364	
1.645	0.9628	0.000	0.1410	0.03359	
1.650	0.8901	0.000	0.1443	0.03355	
1.655	0.8219	0.000	0.1473	0.03352	
1.660	0.7538	0.000	0.1500	0.03349	
1.665	0.6841	0.000	0.1525	0.03348	
1.670	0.6134	0.000	0.1546	0.03349	
1.675	0.5435	0.000	0.1565	0.03351	
1.680	0.4764	0.000	0.1580	0.03356	
1.685	0.4132	0.000	0.1591	0.03362	
1.690	0.3549	0.000	0.1600	0.03370	
1.695	0.3018	0.000	0.1605	0.03380	
1.700	0.2542	0.000	0.1606	0.03392	
1.705	0.2120	0.000	0.1605	0.03405	
1.710	0.1749	0.000	0.1601	0.03422	
