Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-1.305	0.000	0.06624	0.03989	
0.00500	-1.306	-0.00014	0.06203	0.04010	
0.01000	-1.294	-0.00016	0.05790	0.04029	
0.01500	-1.278	-0.00015	0.05377	0.04047	
0.02000	-1.261	-0.00017	0.04962	0.04063	
0.02500	-1.246	-0.00019	0.04552	0.04076	
0.03000	-1.233	-0.00018	0.04144	0.04089	
0.03500	-1.222	-0.00018	0.03740	0.04099	
0.04000	-1.210	-0.00020	0.03352	0.04107	
0.04500	-1.194	-0.00020	0.02979	0.04114	
0.05000	-1.174	-0.00019	0.02621	0.04119	
0.05500	-1.145	-0.00021	0.02285	0.04124	
0.06000	-1.102	-0.00023	0.01977	0.04126	
0.06500	-1.041	-0.00022	0.01689	0.04126	
0.07000	-0.9668	-0.00024	0.01426	0.04126	
0.07500	-0.8834	-0.00027	0.01198	0.04124	
0.08000	-0.7960	-0.00026	0.01001	0.04121	
0.08500	-0.7084	-0.00027	0.00830	0.04116	
0.09000	-0.6234	-0.00029	0.00692	0.04108	
0.09500	-0.5428	-0.00028	0.00587	0.04096	
0.1000	-0.4678	-0.00026	0.00509	0.04080	
0.1050	-0.3992	-0.00027	0.00469	0.04063	
0.1100	-0.3370	-0.00027	0.00474	0.04045	
0.1150	-0.2800	-0.00025	0.00522	0.04026	
0.1200	-0.2257	-0.00026	0.00616	0.04005	
0.1250	-0.1680	-0.00027	0.00758	0.03985	
0.1300	-0.09726	-0.00024	0.00939	0.03965	
0.1350	-0.00716	-0.00024	0.01154	0.03947	
0.1400	0.1074	-0.00026	0.01411	0.03930	
0.1450	0.2487	-0.00026	0.01705	0.03914	
0.1500	0.4147	-0.00026	0.02025	0.03896	
0.1550	0.5999	-0.00029	0.02374	0.03879	
0.1600	0.7953	-0.00030	0.02749	0.03860	
0.1650	0.9894	-0.00030	0.03139	0.03839	
0.1700	1.171	-0.00032	0.03544	0.03817	
0.1750	1.330	-0.00034	0.03970	0.03795	
0.1800	1.461	-0.00033	0.04409	0.03771	
0.1850	1.560	-0.00032	0.04851	0.03749	
0.1900	1.623	-0.00034	0.05302	0.03726	
0.1950	1.654	-0.00031	0.05758	0.03705	
0.2000	1.652	-0.00028	0.06210	0.03684	
0.2050	1.621	-0.00027	0.06661	0.03665	
0.2100	1.565	-0.00024	0.07111	0.03648	
0.2150	1.491	-0.00019	0.07550	0.03633	
0.2200	1.401	-0.00017	0.07975	0.03620	
0.2250	1.295	-0.00015	0.08391	0.03610	
0.2300	1.180	-0.00011	0.08785	0.03602	
0.2350	1.062	0.000	0.09152	0.03597	
0.2400	0.9443	0.000	0.09500	0.03594	
0.2450	0.8318	0.000	0.09823	0.03594	
0.2500	0.7258	0.000	0.1011	0.03597	
0.2550	0.6273	0.000	0.1035	0.03604	
0.2600	0.5369	0.000	0.1056	0.03612	
0.2650	0.4551	0.000	0.1073	0.03624	
0.2700	0.3820	0.000	0.1085	0.03638	
0.2750	0.3174	-0.00011	0.1094	0.03655	
0.2800	0.2610	0.000	0.1099	0.03675	
0.2850	0.2117	-0.00011	0.1098	0.03695	
0.2900	0.1672	-0.00013	0.1093	0.03715	
0.2950	0.1228	-0.00013	0.1083	0.03736	
0.3000	0.07294	-0.00012	0.1069	0.03757	
0.3050	0.01573	-0.00014	0.1050	0.03774	
0.3100	-0.04998	-0.00014	0.1027	0.03790	
0.3150	-0.1306	-0.00011	0.1001	0.03803	
0.3200	-0.2301	-0.00010	0.09700	0.03816	
0.3250	-0.3504	-0.00011	0.09365	0.03828	
0.3300	-0.4904	0.000	0.09000	0.03841	
